"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works","H Index","Citations"
"MARCO","ANTONIOTTI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-2823-6838","Università degli Studi di Milano-Bicocca","APPROVED","Professor","","Computational Biology, Bioinformatics, Computer Science, Machine Learning","",19.0,27,2594
"FRANCESCA","ARCELLI FONTANA","(IINF-05/A)","Information Processing Systems","Full Professor","0000-0002-1195-530X","Universita degli Studi di Milano-Bicocca","APPROVED","Associate Professor","","Software Engineering, Refactoring, Managing Technical Debt, Architectural Smell Detection, Software Quality Assessment","",46.0,5789,40
"STEFANIA","BANDINI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-7056-0543","University of Milano-Bicocca","APPROVED","Professor","","artificial intelligence, complex systems, crowd-pedestrians modeling and simulation","",227.0,4738,35
"PAOLA","BONIZZONI","(INFO-01/A)","Computer Science","Full Professor","0000-0001-7289-4988","Università degli Studi di Milano-Bicocca","APPROVED","Professor",2007.0,"Computer science, Bioinformatics","",132.0,27,2458
"DAVIDE ","CIUCCI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-8083-7809","University of Milano-Bicocca","APPROVED","Associate Professor",2017.0,"Rough sets, uncertainty management, fuzzy logic, artificial intelligence, knowledge representation","",125.0,34,3449
"GABRIELE","GIANINI","(INFO-01/A)","Computer Science","Full Professor","0000-0001-5186-0199","Università degli Studi di Milano-Bicocca","APPROVED","Professore",2023.0,"Machine Learning methods and applications","M-5195-2014",228.0,47,7011
"LEONARDO","MARIANI","(IINF-05/A)","Information Processing Systems","Full Professor","0009-0004-1649-7696","University of Milano-Bicocca","APPROVED","Student ","","Software Testing, Software Analysis, Software Engineering, Computer Science","",0.0,35,4892
"ANDREA","MAURINO","(INFO-01/A)","Computer Science","Full Professor","0000-0001-9803-3668","Università degli Studi di Milano-Bicocca","APPROVED","Associate professor",2015.0,"Data quality, semantic web, data management, data science","",1.0,27,4634
"ENZA","MESSINA","(MATH-06/A)","Operations Research","Full Professor","0000-0002-4062-0824","Universita degli Studi di Milano-Bicocca Scuola di Scienze","APPROVED","Professor",1999.0,"Optimization, Stochastic Programming, Machine Learning, Statistical Learning","",101.0,25,2733
"GABRIELLA","PASI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-6080-8170","Università degli Studi di Milano-Bicocca","APPROVED","Full Professor","","Information Retrieval, NLP, Artificial Intelligence, Data Science, Fuzzy Logic","",267.0,42,8522
"MAURO","PEZZÈ","(IINF-05/A)","Information Processing Systems","Full Professor","0000-0001-5193-7379","Università della Svizzera italiana Facoltà di scienze informatiche","TO CHECK","Professor",2007.0,"Software Engineering, Software Testing, Program Analysis, Self-Healing Systems, Symbolic Execution","",203.0,49,12028
"RAIMONDO","SCHETTINI","(INFO-01/A)","Computer Science","Full Professor","0000-0001-7461-1451","","TO CHECK","","","color imaging, artificial vision, artificial intelligence, image understanding","",272.0,52,12144
"ALESSANDRA","AGOSTINI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-2337-3745","","TO CHECK","","","Ubiquitous Computing, Context-Aware Computing, HCI, Collaborative and Participative Learning, CSCW","",0.0,20,1381
"DANIELA","BESOZZI","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-5532-3059","","TO CHECK","","","Systems Biology, Mathematical modeling, Evolutionary Computation, GPU computing","",0.0,27,2867
"SIMONE","BIANCO","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-7070-1545","University of Milano-Bicocca","APPROVED","","","Computer Vision, Image Processing, Machine Learning, Optimization, Deep Learning","",160.0,36,5785
"PIETRO","BRAIONE","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0001-9307-6781","University of Milano-Bicocca","APPROVED","Associate professor",2022.0,"Formal methods, software quality, programming languages, statistical learning","P-4323-2014",22.0,13,812
"FEDERICO","CABITZA","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-4065-3415","","TO CHECK","","","human_ai_interaction, decision_support, human_centered_AI, eXplainable_AI","L-2263-2013",142.0,41,6839
"MICHELE","CIAVOTTA","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-2480-966X","Universita degli Studi di Milano-Bicocca","APPROVED","Ricercatore a tempo determinato",2017.0,"Cloud Computing, Optimization, Big Data, Graph Neural Networks","",71.0,19,1771
"GIANLUIGI","CIOCCA","(INFO-01/A)","Computer Science","Associate Professor","0000-0003-2878-2131","University of Milano-Bicocca","APPROVED","Associate Professor",2015.0,"Computer Vision, Image Understanding, Pattern Recognition, Video Analysis, Machine Learning","",92.0,31,4588
"FLAVIO","DE PAOLI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-5047-7371","Universita degli Studi di Milano-Bicocca","APPROVED","associate professor",2001.0,"","",111.0,23,1573
