,Given Name,Family Name,Department Code,Specific Field,Role,ORCID ID,Organization,Keywords,H Index,Citations,Past Institutions
0,MARCO,ANTONIOTTI,(INFO-01/A),Computer Science,Full Professor,0000-0002-2823-6838,University of Milan Bicocca,"Computational Biology, Bioinformatics, Computer Science, Machine Learning",27.0,2594.0,"['Mylan (Switzerland)', 'Courant Institute of Mathematical Sciences', 'University of Milan', 'University of California, Los Angeles', 'University of Toronto', 'New York University', 'Rutgers, The State University of New Jersey']"
1,FRANCESCA,ARCELLI FONTANA,(IINF-05/A),Information Processing Systems,Full Professor,0000-0002-1195-530X,University of Milan Bicocca,"Software Engineering, Refactoring, Managing Technical Debt, Architectural Smell Detection, Software Quality Assessment",40.0,5789.0,"['University of Salerno', 'Menarini Group (Italy)', 'University of Milan', 'University of Sannio', 'German Research Centre for Artificial Intelligence']"
2,STEFANIA,BANDINI,(INFO-01/A),Computer Science,Full Professor,0000-0002-7056-0543,University of Milan Bicocca,"artificial intelligence, complex systems, crowd-pedestrians modeling and simulation",35.0,4738.0,"['Istituto Nazionale di Fisica Nucleare, Sezione di Milano', 'University of Bologna', 'Centre for Artificial Intelligence and Robotics', 'University of Milan', 'Umm al-Qura University', 'Intelligent Systems Research (United States)']"
3,PAOLA,BONIZZONI,(INFO-01/A),Computer Science,Full Professor,0000-0001-7289-4988,University of Milan Bicocca,"Computer science, Bioinformatics",27.0,2458.0,"['University of Milan', 'École Polytechnique', 'Japan Advanced Institute of Science and Technology', 'University of Auckland', ""Laboratoire d'Informatique de l'École Polytechnique"", 'Institut Polytechnique de Bordeaux', 'Université de Bordeaux', 'Centre National de la Recherche Scientifique', 'Laboratoire Bordelais de Recherche en Informatique']"
4,DAVIDE ,CIUCCI,(INFO-01/A),Computer Science,Full Professor,0000-0002-8083-7809,University of Milan Bicocca,"Rough sets, uncertainty management, fuzzy logic, artificial intelligence, knowledge representation",34.0,3449.0,"['University of Milan', 'Université Toulouse III - Paul Sabatier', 'Institut de Recherche en Informatique de Toulouse', 'Université Toulouse-I-Capitole', 'Institut Polytechnique de Bordeaux', 'Université Toulouse - Jean Jaurès', 'University of Regina', 'DuBois Business College']"
5,GABRIELE,GIANINI,(INFO-01/A),Computer Science,Full Professor,0000-0001-5186-0199,University of Milan Bicocca,Machine Learning methods and applications,47.0,7011.0,
6,LEONARDO,MARIANI,(IINF-05/A),Information Processing Systems,Full Professor,0000-0001-9527-7042,University of Milan Bicocca,"Software Testing, Software Analysis, Software Engineering, Computer Science",35.0,4892.0,"['University of Milan', 'Haluoleo University', 'University of California, Irvine', 'RWTH Aachen University', 'Université Grenoble Alpes', 'University of Twente', 'University of St Andrews', 'Stony Brook University', 'Toyota Industries (United States)']"
7,ANDREA,MAURINO,(INFO-01/A),Computer Science,Full Professor,0000-0001-9803-3668,University of Milan Bicocca,"Data quality, semantic web, data management, data science",27.0,4634.0,"['University of Milan', 'Sapienza University of Rome', 'Politecnico di Milano']"
8,ENZA,MESSINA,(MATH-06/A),Operations Research,Full Professor,0000-0002-4062-0824,University of Milan Bicocca,"Optimization, Stochastic Programming, Machine Learning, Statistical Learning",25.0,2733.0,"['Stavros Niarchos Foundation', 'University of Oslo', 'University of Minnesota', 'Lombardia Informatica (Italy)', 'University of California, Davis', 'Gheorghe Asachi Technical University of Iași', 'University of Milan', 'Brunel University of London']"
9,GABRIELLA,PASI,(INFO-01/A),Computer Science,Full Professor,0000-0002-6080-8170,University of Milan Bicocca,"Information Retrieval, NLP, Artificial Intelligence, Data Science, Fuzzy Logic",42.0,8522.0,"['IT University of Copenhagen', 'Tokyo Institute of Technology', 'Administration for Community Living', 'American Jewish Committee', 'RIKEN Center for Advanced Intelligence Project', 'Mongolia International University', 'Bar-Ilan University', 'University of Helsinki', 'Tel Aviv University']"
