"Unnamed: 0","ORCID ID","Given_Name","Family_Name","Role","Keywords","Organization","H Index","Citations"
0,"0000-0002-8403-3250","Giovanni","Pagliarini","","Nessuna","University of Parma",7,127
1,"0000-0003-4809-5558","Daniel","Machado","","Nessuna","Norwegian University of Science and Technology",20,3403
2,"0000-0003-3131-3969","Maria Carmen","De Santis","","Nessuna","Fondazione IRCCS Istituto Nazionale dei Tumori",17,2319
3,"0000-0003-3929-0423","Bas","Teusink","","Nessuna","Vrije Universiteit Amsterdam","",""
4,"0000-0002-6328-9089","Pikakshi","Manchanda","Research Fellow","Nessuna","University of Exeter",5,146
5,"0000-0003-0850-5604","Niranjan","Nagarajan","","Nessuna","Genome Institute of Singapore",64,24041
6,"0000-0003-0980-3136","Riccardo","Barbieri","Research Associate","Nessuna","Charité Universitätsmedizin Berlin",161,81662
7,"0000-0003-4342-2695","Cristina","Monni","Postdoctoral Research Assistant","Nessuna","Università della Svizzera Italiana",7,237
8,"0000-0001-6052-1885","Mingxi","Li","","Nessuna","Southeast University",12,805
9,"0000-0002-9568-5588","jesper","tegner","Professor, Bioscience","0000-0002-9568-5588, mathematics, computational biology","King Abdullah University of Science and Technology (KAUST)",63,21139
10,"0000-0001-6211-2719","Ron","Henkel","PostDoc","Nessuna","Universitätsmedizin Greifswald",12,593
11,"0000-0002-4857-5351","Sven","Loncaric","Full professor","image processing, computer vision, image analysis","University of Zagreb Faculty of Electrical Engineering and Computing",37,6349
12,"0000-0002-9399-4512","Artem","LYSENKO ","","Nessuna","RIKEN",18,1698
13,"0000-0002-5301-3142","Chris","Evelo","","Bioinformatics, Systems Biology, toxicology, nutrition, rare diseases, FAIR, Network Biology, Molecular Pathways","Maastricht University",59,30946
14,"0000-0002-4168-5515","Yu-Seung","Ma","","Nessuna","","",""
15,"0000-0002-2559-8833","Antonio","Palmeri","Principal Scientist","Nessuna","Bristol Myers Squibb",14,895
16,"0000-0002-3723-6661","Bhagwan","Yadav","PhD Student","Nessuna","Lincoln University,New Zealand",27,3736
17,"0000-0002-5368-6363","ALBERTO","GARAVENTA","Head of Oncology Unit","Nessuna","Istituto Giannina Gaslini",57,13083
18,"0000-0002-1301-1468","Sebastian","Muraru","","Nessuna","Researcher , INMA Bucharest",6,100
19,"0000-0003-2701-9580","Jui-Huan","Chang","","Nessuna","","",""
20,"0000-0003-2411-999X","Marco","Gui","","Nessuna","Università di Milano-Bicocca",19,2413
21,"0000-0001-6492-2838","Yangfan","Sun","","Nessuna","Sun Yat-sen University",40,7261
22,"0000-0002-9103-1077","Eivind","Hovig","Professor/ Head, Center of Bioinformatics","Bioinformatics, Genomics, Melanoma, Mutation analysis","University of Oslo",62,18366
23,"0000-0003-3053-0662","Yongsoo","Kim","","Nessuna","Department of Semiconductor Physics and Energy Harvest-Storage Research Center, University of Ulsan",37,5306
24,"0000-0001-8548-2616","Antonia","Godoy-Lorite","","Nessuna","University College London",6,161
25,"0000-0003-0722-806X","Seung Won","Jung","","Nessuna","한국해양과학기술원",24,3151
