"Unnamed: 0","ORCID ID","Given_Name","Family_Name","Role","Keywords","Organization","H Index","Citations"
400,"0000-0001-6199-246X","Dorota","Sendorek","","Nessuna","","",""
401,"0000-0002-1411-9091","Viviana ","Arrigoni","Research Fellow","Nessuna","Sapienza University of Rome",4,91
402,"0000-0003-1563-8130","SARWAN","ALI","","Nessuna","Ph.D. Student, Georgia State University",15,757
403,"0000-0003-3040-1860","Rached","Alkallas","","Nessuna","Graduate Student, McGill University",8,456
404,"0000-0001-7664-6930","Sheryl","Brahnam","","Nessuna","Professor ITC, Missouri State University",42,6798
405,"0000-0003-2518-0151","Ahmed","Braham","Professor of Electrical Engineering","Fault detection, Power Electronics, Induction Motor, Electrolytic capacitors, Pattern Recognition, Support Vector Machines","National Institute of Applied Sciences and Technology, University of Carthage",13,935
406,"0000-0001-8479-0262","Henning","Hermjakob","Team Leader","Nessuna","European Bioinformatics Institute",98,92039
407,"0000-0001-6381-8326","konstantinos","votis","","Nessuna","Centre for Research and Technology Hellas/Information Technologies Institute (CERTH/ITI)",34,4549
408,"0000-0001-8046-9746","Jonathan","Drew","","Nessuna","Maitre Assistant, University of Geneva",160,91915
409,"0000-0002-1366-1399","Carole","Proctor","Lecturer","Nessuna","Newcastle University",26,2896
410,"0000-0001-7449-2528","Sepp","Hochreiter","Head","Nessuna","Johannes Kepler Universität Linz",64,173740
411,"0000-0001-7900-4239","Eduard","Porta-Pardo","Junior Group Leader","Computational biology, Genomics, Cancer, Bioinformatics","Josep Carreras Leukaemia Research Institute",19,9751
412,"0000-0003-4989-2794","Yu-Jia (Sylvia)","Shiah","Bioinformatician","Nessuna","Ontario Institute for Cancer Research","",""
413,"0000-0001-9105-5960","Michael","Hucka","","scientific computing, software interoperability, data standards, preservation of data, systems biology, cognitive science, artificial intelligence","California Institute of Technology",46,19383
414,"0009-0008-9969-3981","Antonio","Carzaniga","","Nessuna","Università della Svizzera italiana","",""
415,"0000-0002-9520-5847","Lu-lu","Li","","Nessuna","","",""
416,"0000-0001-6905-9471","Marien","van Westen","","Nessuna","Independent researcher",3,37
417,"0000-0002-0117-7444","Kathleen","Fisch","Assistant Professor","Nessuna","University of California, San Diego",35,4917
418,"0000-0002-8515-6738","Jaime Francisco","Gómez Gómez","Head","Materials, design and design history, digital modeling","Universidad de Guadalajara",3,63
419,"0000-0002-9691-4231","Karlo","Koscevic","","Nessuna","University of Zagreb",10,300
420,"0000-0003-0841-6628","Mahendra","Khened","","Nessuna","Research Scholar",13,6240
421,"0000-0003-3929-4467","Jeong-Ho","Yun","Associate Professor, Professor (Tenured)","Periodontology, Implantology, Dentistry, Tissue Engineering","Jeonbuk National University",28,2144
422,"0000-0001-9569-1200","Amy","Truong","","Nessuna","Sage Bionetworks","",""
423,"0000-0002-2785-2145","Songcheng","Du","","Nessuna","Unknown affiliation",4,187
424,"0000-0002-5576-5647","Benedict","Anchang","Adjunct Investigator","Nessuna","National Cancer Institute",10,1550
425,"0009-0009-5292-6271","Yukai","Shi","","Nessuna","Shanxi University",16,1166
426,"0009-0003-5599-9181","Pietro","Polsinelli","","Nessuna","","",""
427,"0000-0002-6386-8267","Stefan","Graw","Biostatistician I","Nessuna","Everest Clinical Research",9,637
428,"0000-0002-2509-271X","Andrea","Ruggieri","Profesor Asociado","Nessuna","Universitat Politècnica de València",19,2110
429,"0000-0003-4345-2069","Petar","Kochovski","","Nessuna","University of Ljubljana",9,610
430,"0000-0001-9136-2055","Alberto","Castagna","","Nessuna","Unknown affiliation",19,1504
431,"0000-0003-4957-1026","raffaele","rasoini","","Nessuna","","",""
432,"0000-0002-6762-7989","wei","wei","","Nessuna","Anglia Ruskin University",159,229332
433,"0000-0003-3525-9197","Brian","Funt","","Nessuna","Professor of Computing Science, Simon Fraser University",47,11411
434,"0000-0002-5520-2115","Ehsan","Saghapour","","Nessuna","PhD in Biomedical Engineering, Postdoctoral Fellow at UAB",6,166
435,"0009-0000-8794-5581","En","Chang","PhD student","Nessuna","University of Oxford",118,87817
436,"0000-0002-1049-6391","Arseniy","Terekhin","","Nessuna","Institute for Information Transmission Problems of the Russian Academy of Sciences (Kharkevich",9,183
437,"0000-0002-5274-3194","Kai","Zhang","","Nessuna","北京华夏春松科技有限公司",167,168740
438,"0000-0002-9415-1971","Kris","Sankaran","","Nessuna","University of Wisconsin - Madison",19,3356
439,"0000-0002-1145-891X","Joerg","Stelling","","Nessuna","Department of Biosystems Science and Engineering, ETH Zurich",48,16244
440,"0000-0002-8266-7102","Yuanhao","Cai","","Nessuna","Johns Hopkins University  |  Tsinghua University",15,1811
441,"0000-0002-5120-7429","li","zeng","","Nessuna","Institute of Biophysics, CAS",50,17517
442,"0000-0002-1086-6639","Nicholas","Allen","CEO, CO-founder","Nessuna","Ksana Health Inc.",102,48066
443,"0009-0008-7648-6867","Bhabatosh","Chanda","","Nessuna","Professor, Computer and Communication Science, Indian Statistical Institute",43,6520
444,"0000-0002-5553-9666","Barbara","Huang","","Nessuna","University of California, Santa Barbara",11,2272
445,"0000-0003-1725-179X","Matthias","König","Junior Group Leader","Systems Biology, Systems Medicine, Bioinformatics, Liver, Pharmacokinetics, Physiologically based pharmacokinetics (PBPK) model, Systems Biology Markup Language (SBML), CircleU, FAIR, Biology, Liver function test, Computational modelling, Mathematical modelling","Humboldt-Universität zu Berlin",34,5201
446,"0000-0003-1776-4560","Bárbara","Schmitz Abecassis","","Nessuna","","",""
447,"0000-0002-8308-1832","Daniele","Zuddas","Ricercatore in Geometria","Nessuna","Università degli Studi di Trieste",5,169
448,"0000-0003-1706-5217","Weiguo","Song","","Nessuna","Institute of Chemistry, Chinese Academy of Sciences",87,29609
449,"0000-0003-1839-9366","FRANCESCO","EPIFANIA","","Nessuna","Università degli Studi di Milano",6,89
450,"0000-0002-1828-2486","John","Doyle","Jean Lou Chameau Professor","Nessuna","California Institute of Technology",104,99474
451,"0000-0002-1868-8224","Arezoo","Jahani","Assistant Professor","Computer Network, Cloud Service, Data center, Distributed System","Sahand University of Technology",9,191
