"Given Name","Family Name","Department Code","Specific Field","Role"
"MARCO","ANTONIOTTI","(INFO-01/A)","Computer Science","Full Professor"
"FRANCESCA","ARCELLI FONTANA","(IINF-05/A)","Information Processing Systems","Full Professor"
"STEFANIA","BANDINI","(INFO-01/A)","Computer Science","Full Professor"
"PAOLA","BONIZZONI","(INFO-01/A)","Computer Science","Full Professor"
"DAVIDE ","CIUCCI","(INFO-01/A)","Computer Science","Full Professor"
"GABRIELE","GIANINI","(INFO-01/A)","Computer Science","Full Professor"
"LEONARDO","MARIANI","(IINF-05/A)","Information Processing Systems","Full Professor"
"ANDREA","MAURINO","(INFO-01/A)","Computer Science","Full Professor"
"ENZA","MESSINA","(MATH-06/A)","Operations Research","Full Professor"
"GABRIELLA","PASI","(INFO-01/A)","Computer Science","Full Professor"
"MAURO","PEZZÈ","(IINF-05/A)","Information Processing Systems","Full Professor"
"RAIMONDO","SCHETTINI","(INFO-01/A)","Computer Science","Full Professor"
"ALESSANDRA","AGOSTINI","(INFO-01/A)","Computer Science","Full Professor"
"DANIELA","BESOZZI","(INFO-01/A)","Computer Science","Associate Professor"
"SIMONE","BIANCO","(INFO-01/A)","Computer Science","Associate Professor"
"PIETRO","BRAIONE","(IINF-05/A)","Information Processing Systems","Associate Professor"
"FEDERICO","CABITZA","(INFO-01/A)","Computer Science","Associate Professor"
"MICHELE","CIAVOTTA","(INFO-01/A)","Computer Science","Associate Professor"
"GIANLUIGI","CIOCCA","(INFO-01/A)","Computer Science","Associate Professor"
"FLAVIO","DE PAOLI","(INFO-01/A)","Computer Science","Associate Professor"
"GIANLUCA","DELLA VEDOVA","(INFO-01/A)","Computer Science","Associate Professor"
"GIOVANNI","DENARO","(INFO-01/A)","Computer Science","Associate Professor"
"ALBERTO","DENNUNZIO","(INFO-01/A)","Computer Science","Associate Professor"
"CLAUDIO","FERRETTI","(INFO-01/A)","Computer Science","Associate Professor"
"ELISABETTA","FERSINI","(INFO-01/A)","Computer Science","Associate Professor"
"FRANCESCA","GASPARINI","(INFO-01/A)","Computer Science","Associate Professor"
"ALBERTO","LEPORATI","(INFO-01/A)","Computer Science","Associate Professor"
"GUGLIELMO","LULLI","(MATH-06/A)","Operations Research","Associate Professor"
"SARA LUCIA","MANZONI","(INFO-01/A)","Computer Science","Associate Professor"
"DANIELA","MICUCCI","(IINF-05/A)","Information Processing Systems","Associate Professor"
"PAOLO","NAPOLETANO","(INFO-01/A)","Computer Science","Associate Professor"
"MATTEO LUIGI","PALMONARI","(INFO-01/A)","Computer Science","Associate Professor"
"NYSSEN","PENALOZA","(INFO-01/A)","Computer Science","Associate Professor"
"YURI","PIROLA","(INFO-01/A)","Computer Science","Associate Professor"
"LUCIA","POMELLO","(INFO-01/A)","Computer Science","Associate Professor"
"CLAUDIA","RAIBULET","(IINF-05/A)","Information Processing Systems","Associate Professor"
"OLIVIERO","RIGANELLI","(IINF-05/A)","Information Processing Systems","Associate Professor"
"RAFFAELLA","RIZZI","(INFO-01/A)","Computer Science","Associate Professor"
"FABIO","SARTORI","(INFO-01/A)","Computer Science","Associate Professor"
"DOMENICO G.","SORRENTI","(IINF-05/A)","Information Processing Systems","Associate Professor"
"FABIO ANTONIO","STELLA","(MATH-06/A)","Operations Research","Associate Professor"
"MARCO","VIVIANI","(INFO-01/A)","Computer Science","Associate Professor"
"GIUSEPPE","VIZZARI","(INFO-01/A)","Computer Science","Associate Professor"
"CLAUDIO","ZANDRON","(INFO-01/A)","Computer Science","Associate Professor"
"ITALO FRANCESCO","ZOPPIS","(INFO-01/A)","Computer Science","Associate Professor"
"LUCA","BERNARDINELLO","(INFO-01/A)","Computer Science","Associate Professor"
"MATTEO ALESSANDRO","DOMINONI","(IINF-05/A)","Information Processing Systems","Researcher"
"GUIDO GIUSEPPE","FIORINO","(INFO-01/A)","Computer Science","Researcher"
"DANIELA","BRIOLA","(INFO-01/A)","Computer Science","Researcher"
"MARCO","BUZZELLI","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"LUIGI","CELONA","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"DAVIDE","CHICCO","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"MARCO","CREMASCHI","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"ALEX","GRAUDENZI","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"DAVIDE","MARELLI","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"SIMONE","MELZI","(IINF-05/A)","Information Processing Systems","Fixed-term Researcher"
"FRIDA","MILELLA","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"DANIELE MARIA","PAPETTI","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"GEORGIOS","PEIKOS","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"FLAVIO","PICCOLI","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"ALESSANDRO","RAGANATO","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"MARCO","SAVI","(IINF-05/A)","Information Processing Systems","Fixed-term Researcher"
"BLERINA","SPAHIU","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"IONEL EDUARD","STAN","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"SIMONE","ZINI","(INFO-01/A)","Computer Science","Fixed-term Researcher"
"FRANCESCO","ARCHETTI","","SSD not available","Fixed-term Researcher"
