"Given Name","Family Name","Keywords","ResearcherID","Role Title","Start Date","Organization","Number of Works","ORCID ID"
"Marco","Antoniotti","Bioinformatics, Computational Biology, Computer Science","N/A","Professor","N/A","Università degli Studi di Milano-Bicocca",19,"0000-0002-2823-6838"
"Francesca","Arcelli Fontana","Nessuna","N/A","Associate Professor","N/A","Universita degli Studi di Milano-Bicocca",46,"0000-0002-1195-530X"
"Stefania","Bandini","Artificial Intelligence, Agent-based Simulation, Cellular Automata, Collective Intelligence","N/A","Professor","N/A","University of Milano-Bicocca",227,"0000-0002-7056-0543"
"PAOLA","BONIZZONI","Nessuna","N/A","Professor","2007","Università degli Studi di Milano-Bicocca",132,"0000-0001-7289-4988"
"Davide","Ciucci","Nessuna","N/A","Associate Professor","2017","University of Milano-Bicocca",125,"0000-0002-8083-7809"
"Gabriele","Gianini","Nessuna","M-5195-2014","Professore","2023","Università degli Studi di Milano-Bicocca",228,"0000-0001-5186-0199"
"Leonardo ","Mariani ","Nessuna","N/A","Student ","N/A","University of Milano-Bicocca",0,"0009-0004-1649-7696"
"Andrea","Maurino","Nessuna","N/A","Associate professor","2015","Università degli Studi di Milano-Bicocca",1,"0000-0001-9803-3668"
"Gabriella","Pasi","Nessuna","N/A","Full Professor","N/A","Università degli Studi di Milano-Bicocca",267,"0000-0002-6080-8170"
"MAURO","PEZZÈ","software engineering, software testing, program analysis, self healing systems, symbolic execution","N/A","Professor","2007","Università della Svizzera italiana Facoltà di scienze informatiche",203,"0000-0001-5193-7379"
"RAIMONDO","SCHETTINI","Nessuna","N/A","N/A","N/A","N/A",272,"0000-0001-7461-1451"
"ALESSANDRA","AGOSTINI","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0002-2337-3745"
"Daniela","Besozzi","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0001-5532-3059"
"Simone","Bianco","Nessuna","N/A","","N/A","University of Milano-Bicocca",160,"0000-0002-7070-1545"
"Pietro","Braione","software quality, software verification, software analysis, machine learning","P-4323-2014","Associate professor","2022","University of Milano-Bicocca",22,"0000-0001-9307-6781"
"Michele","Ciavotta","Scheduling, Heuristics, Cloud, Computer Science, Operations Research","N/A","Ricercatore a tempo determinato","2017","Universita degli Studi di Milano-Bicocca",71,"0000-0002-2480-966X"
"GIANLUIGI","CIOCCA","Nessuna","N/A","Associate Professor","2015","University of Milano-Bicocca",92,"0000-0003-2878-2131"
"flavio","de paoli","Nessuna","N/A","associate professor","2001","Universita degli Studi di Milano-Bicocca",111,"0000-0002-5047-7371"
"Gianluca","Della Vedova","algorithms, computational biology, Goal 11: Sustainable cities and communities, Goal 3: Good health and well-being, PE6_13 - Bioinformatics, biocomputing, and DNA and molecular computation, PE6_6 - Algorithms, distributed, parallel and network algorithms, algorithmic game theory, PE6_4 - Theoretical computer science, formal methods, and quantum computing, ALGORITMI","N/A","Docenti di ruolo di IIa fascia","2012","Universita' di Milano Bicocca",112,"0000-0001-5584-3089"
"Giovanni","Denaro","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0001-7251-1510"
"ALBERTO","DENNUNZIO","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0003-1420-404X"
"Claudio","Ferretti","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0002-5562-7893"
"Elisabetta","Fersini","Nessuna","N/A","N/A","N/A","N/A",38,"0000-0002-8987-100X"
"Francesca","Gasparini","image processing, multimedia data processing","N/A","Assistant Professor","2006","Universita degli Studi di Milano-Bicocca",71,"0000-0002-6279-6660"
"Guglielmo","Lulli","Operations Research","N/A","Professor","2015","Lancaster University Management School",41,"0000-0001-5600-0331"
"SARA LUCIA","MANZONI","Nessuna","N/A","Assistant professor","2003","Università degli Studi di Milano-Bicocca Scuola di Scienze",4,"0000-0002-6406-536X"
"DANIELA","MICUCCI","Nessuna","N/A","N/A","N/A","N/A",64,"0000-0003-1261-2234"
"Paolo","Napoletano","Computer Vision, Pattern Recognition, Information Retrieval,Texture Analysis","B-2186-2009","N/A","N/A","N/A",97,"0000-0001-9112-0574"
"MATTEO","PALMONARI","Nessuna","N/A","Associate Professor","N/A","Università degli Studi di Milano-Bicocca",73,"0000-0002-1801-5118"
"Yuri","Pirola","algorithms, bioinformatics","N/A","Associate professor","2022","Università degli Studi di Milano-Bicocca",46,"0000-0002-8479-7592"
"LUCIA","POMELLO CHINAGLIA POMELLO","Nessuna","N/A","N/A","N/A","N/A",7,"0000-0001-5651-915X"
"Claudia","Raibulet","Nessuna","N/A","N/A","N/A","N/A",77,"0000-0002-7194-3159"
"OLIVIERO","RIGANELLI","Nessuna","N/A","N/A","N/A","N/A",43,"0000-0003-2120-2894"
"RAFFAELLA","RIZZI","Nessuna","N/A","N/A","N/A","N/A",33,"0000-0001-9730-7516"
"Fabio","Sartori","Nessuna","N/A","Assistant Professo","2008","University of Milano-Bicocca",8,"0000-0002-5038-9785"
"FABIO ANTONIO","STELLA","Nessuna","N/A","N/A","N/A","N/A",46,"0000-0002-1394-0507"
"Marco","Viviani","Nessuna","N/A","Associate Professor","2021","Università degli Studi di Milano-Bicocca",61,"0000-0002-2274-9050"
"Giuseppe","Vizzari","Nessuna","N/A","Associate professor","N/A","University of Milano-Bicocca",204,"0000-0002-7916-6438"
"CLAUDIO","ZANDRON","Nessuna","N/A","N/A","N/A","N/A",10,"0000-0002-2163-7639"
"ITALO FRANCESCO","ZOPPIS","Nessuna","N/A","N/A","N/A","N/A",40,"0000-0001-7312-7123"
"LUCA","BERNARDINELLO","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0002-0639-7593"
"MATTEO ALESSANDRO","DOMINONI","Nessuna","N/A","Assistant Professor","2002","Università degli Studi di Milano-Bicocca",3,"0000-0001-8481-6311"
"GUIDO GIUSEPPE","FIORINO","Nessuna","N/A","N/A","N/A","N/A",27,"0000-0002-0556-0723"
"Daniela","Briola","Nessuna","N/A","RTD-B (Assistant Professor)","2022","Università degli Studi di Milano-Bicocca Dipartimento di Informatica Sistemistica e Comunicazione",43,"0000-0003-1994-8929"
"Marco","Buzzelli","Nessuna","N/A","N/A","N/A","N/A",27,"0000-0003-1138-3345"
"Luigi","Celona","Nessuna","N/A","Dirigente Tecnologo","1998","Istituto Nazionale di Fisica Nucleare",128,"0000-0002-6328-5926"
"Davide","Chicco","machine learning, biomedical informatics, computational biology, data mining, computational intelligence, bioinformatics","C-7058-2017","","2023","Universita' di Milano Bicocca",68,"0000-0001-9655-7142"
"Marco","CREMASCHI","Nessuna","N/A","Full Professor","2015","SciencesPo",166,"0000-0003-4139-1928"
"Alex","Graudenzi","Nessuna","N/A","Tenure Track Researcher ","2022","Università degli Studi di Milano-Bicocca",86,"0000-0001-5452-1918"
"Davide","Marelli","Nessuna","N/A","Postdoctoral Research Fellow","N/A","University of Milano-Bicocca",10,"0000-0003-2389-0301"
"Simone","Melzi","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0003-2790-9591"
"Frida","Milella","Nessuna","N/A","Assistant Professor (RTDa)","2023","University of Milano-Bicocca",9,"0000-0002-0522-2804"
"Daniele Maria","Papetti","Nessuna","N/A","Post-doctoral researcher","N/A","Università degli Studi di Milano-Bicocca",10,"0000-0002-3574-6027"
"Georgios","Peikos","Information Retrieval, Domain Specific Search Engines, Medical Information Retrieval, Generative AI, Natural Language Processing, Clinical Trials Retrieval, Health Informatics","N/A","Ricercatori a tempo determinato","2024","Universita' di Milano Bicocca",11,"0000-0002-2862-8209"
"Flavio","Piccoli","Nessuna","N/A","N/A","N/A","N/A",1,"0009-0007-0604-7677"
"Alessandro","Raganato","language technology, computational linguistics, natural language processing","N/A","tenure-track Assistant Professor","2022","University of Milano-Bicocca",36,"0000-0002-7018-7515"
"Marco","Savi","Communication Networks, Telecommunications","N/A","Assistant Professor","2020","University of Milano-Bicocca",43,"0000-0002-8193-0597"
"BLERINA","SPAHIU","Nessuna","N/A","Borsa di ricerca","2017","Universita degli Studi di Milano-Bicocca",16,"0000-0002-6958-8215"
"Ionel Eduard","Stan","Temporal Logic, Computational Complexity, Machine Learning","LCE-8649-2024","Assistant Professor","2024","University of Milano-Bicocca",14,"0000-0001-9260-102X"
"Simone","Zini","Computational Photography, Image Processing, Convolutional Neural Networks, Image Restoration, Machine Learning","N/A","Assistant Professor","2024","University of Milano-Bicocca",15,"0000-0002-8505-1581"
"Giulia Rosemary","Avis","Nessuna","N/A","","N/A","University of Milano-Bicocca",0,"0009-0008-7301-6982"
"Mirko Paolo","Barbato","Nessuna","N/A","N/A","N/A","N/A",7,"0000-0002-3967-8957"
"Federico","Belotti","Nessuna","N/A","Research Fellow","2024","University of Milano-Bicocca",0,"0009-0008-0140-3318"
"Firas","Ben Abid","Nessuna","N/A","Teacher","2017","Université Libre de Tunis",5,"0000-0002-3607-3231"
"Stefania","Boffa","Nessuna","N/A","Postdoctoral researcher","2019","University of Ostrava",17,"0000-0002-4171-3459"
"Luca","Herranz-Celotti","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0003-2460-8099"
"Xiaochen","Chou","operations research, machine learning","N/A","Postdoctoral Researcher","2022","University of Milano-Bicocca",20,"0000-0003-1491-9336"
"Simone","Ciccolella","Nessuna","N/A","PostDoc","2022","Università degli Studi di Milano-Bicocca",10,"0000-0002-6469-4887"
"Roberto","Crotti","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0003-3009-1874"
"Federica","Filippini","Nessuna","N/A","Post-Doc Researcher","2024","University of Milano-Bicocca",14,"0000-0002-6549-924X"
"Younan","Gao","Data Structures and Algorithms","N/A","N/A","N/A","N/A",6,"0000-0003-4984-2551"
"Roberto","Garrone","Nessuna","N/A","Assegnista","2024","University of Milano-Bicocca",0,"0009-0005-7060-6774"
"Alessandro","Gherardi","Computer science, Computer vision, Image analysis, Image processing, mosaicing, skin surface analysis, computer graphics, virtual and augmented reality","A-3021-2012","Researcher","2003","Advanced Research Center on Electronic System (ARCES)",38,"0000-0002-5347-3851"
"Alessandra","Grossi","Nessuna","N/A","N/A","N/A","N/A",13,"0000-0003-1308-8497"
"LUCA","GUGLIELMO","Nessuna","N/A","N/A","N/A","N/A",1,"0000-0002-5580-3623"
"Pranav","Kasela","Nessuna","N/A","PhD Student","N/A","University of Milano-Bicocca",3,"0000-0003-0972-2424"
"ELSON","KURIAN","Software Engineering, Software Reliability","N/A","Research Fellow (Assegnista Di Riccerca)","2023","University of Milano-Bicocca",3,"0000-0002-6392-0870"
"Giorgio","Longari","Nessuna","N/A","Guest Researcher","2024","University of Milano-Bicocca",1,"0000-0002-2086-9091"
"Filippo","Maggioli","Nessuna","N/A","Assegnisti","2023","Universita` degli Studi di ROMA ""La Sapienza""",17,"0000-0001-8008-8468"
"Luca","Marconi","Artificial Intelligence, Human-AI Interaction, Explainable Artificial Intelligence, Decision-Support Systems, Cognitive Science, Knowledge Management, Complex Systems, Systems Dynamics, Social Systems, Systems Modeling, Systems Analysis, Knowledge Engineering, Educational technologies, AI Education, Agent-Based Simulation, Decision-Making Processes, Agent-Based Modeling, Management Science, Computational Social Science","N/A","Postdoctoral Researcher","2024","University of Milano-Bicocca",22,"0000-0002-0236-6159"
"Giorgio","Mariani","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0003-3906-0513"
"Giuliamaria","Menara","Nessuna","N/A","PhD Student","2021","Università degli Studi di Trieste",4,"0000-0001-7010-2000"
"Gian Carlo","Milanese","Nessuna","N/A","PhD Student","2020","Università degli Studi di Milano-Bicocca",5,"0000-0002-1757-0152"
"Sara","Nocco","Nessuna","N/A","Research Fellow","2024","University of Milano-Bicocca",0,"0009-0000-6086-8213"
"Maria Teresa ","Rossi","Nessuna","N/A","N/A","N/A","N/A",14,"0000-0003-0273-7324"
"AURORA","SAIBENE","Nessuna","N/A","Postdoctoral fellow","2022","Università degli Studi di Milano-Bicocca Dipartimento di Informatica Sistemistica e Comunicazione",17,"0000-0002-4405-8234"
"Effrosyni","Sokli","Information Retrieval, Knowledge Representation, Nature Language Processing (NLP)","N/A","","N/A","University of Milano-Bicocca",0,"0009-0003-5388-2385"
"Iara Lucia","Vicente","Nessuna","N/A","Médica Veterinária","1997","Clinica Saude Animal ",0,"0000-0002-6733-6567"
"An Qi","Zhao","Nessuna","N/A","","N/A","University of Milano-Bicocca",0,"0009-0009-3390-7024"
"Qurban","Ali","Autonomous Driving Systems (ADS), Software Testing, Machine Learning, Cyber Physical Systems (CPS)","N/A","PhD Student ","2023","University of Milano-Bicocca",0,"0009-0003-0087-9270"
"Abubakari","Alidu","Nessuna","N/A","","N/A","University of Milano-Bicocca",0,"0009-0000-9251-919X"
"Hamza","Amrani","Nessuna","N/A","","N/A","Constantine 1 University",4,"0000-0002-7081-6051"
"Gianmaria","Balducci","Nessuna","N/A","N/A","N/A","N/A",0,"0000-0003-3607-0951"
"Thomas","Barbera","EEG Processing, Deep Learning, Digital Signal Processing, Neuroinformatics, AI-Assisted Healthcare","N/A","PhD Student","2023","University of Milano-Bicocca",0,"0009-0001-5684-1867"
"Francesco","Canonaco","Nessuna","N/A","","2023","University of Milano-Bicocca",0,"0009-0006-5554-8665"
"Michele","Carbonera","Nessuna","N/A","N/A","N/A","N/A",0,"0009-0000-3537-1977"
"Vasco","Coelho","Nessuna","N/A","N/A","N/A","N/A",0,"0009-0007-5742-0929"
"Luca","Cogo","Nessuna","N/A","PhD Student","2023","University of Milano-Bicocca",0,"0009-0001-0056-053X"
"Davide","Cozzi","Nessuna","N/A","N/A","N/A","N/A",6,"0000-0003-2439-0608"
"Salvatore","D'Antona","Nessuna","N/A","N/A","N/A","N/A",10,"0000-0002-1283-8789"
"Federica","Di Michele","Nessuna","N/A","Researcher","2022","Istituto Nazionale di Geofisica e Vulcanologia Sezione di Milano",19,"0000-0003-1244-6942"
"Federico","Di Marco","Nessuna","N/A","PhD Student","2023","University of Milano-Bicocca",20,"0000-0003-0376-1342"
