"Given Name","Family Name","Department Code","Specific Field","Role","ORCID ID","Organization","Status","Role Title","Start Date","Keywords","ResearcherID","Number of Works"
"MARCO","ANTONIOTTI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-2823-6838","Università degli Studi di Milano-Bicocca","APPROVED","Professor","N/A","Bioinformatics, Computational Biology, Computer Science","N/A",19
"FRANCESCA","ARCELLI FONTANA","(IINF-05/A)","Information Processing Systems","Full Professor","0000-0002-1195-530X","Universita degli Studi di Milano-Bicocca","APPROVED","Associate Professor","N/A","Nessuna","N/A",46
"STEFANIA","BANDINI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-7056-0543","University of Milano-Bicocca","APPROVED","Professor","N/A","Artificial Intelligence, Agent-based Simulation, Cellular Automata, Collective Intelligence","N/A",227
"PAOLA","BONIZZONI","(INFO-01/A)","Computer Science","Full Professor","0000-0001-7289-4988","Università degli Studi di Milano-Bicocca","APPROVED","Professor","2007","Nessuna","N/A",132
"DAVIDE ","CIUCCI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-8083-7809","University of Milano-Bicocca","APPROVED","Associate Professor","2017","Nessuna","N/A",125
"GABRIELE","GIANINI","(INFO-01/A)","Computer Science","Full Professor","0000-0001-5186-0199","Università degli Studi di Milano-Bicocca","APPROVED","Professore","2023","Nessuna","M-5195-2014",228
"LEONARDO","MARIANI","(IINF-05/A)","Information Processing Systems","Full Professor","0009-0004-1649-7696","University of Milano-Bicocca","APPROVED","Student ","N/A","Nessuna","N/A",0
"ANDREA","MAURINO","(INFO-01/A)","Computer Science","Full Professor","0000-0001-9803-3668","Università degli Studi di Milano-Bicocca","APPROVED","Associate professor","2015","Nessuna","N/A",1
"ENZA","MESSINA","(MATH-06/A)","Operations Research","Full Professor","0000-0002-4062-0824","Universita degli Studi di Milano-Bicocca Scuola di Scienze","APPROVED","Professor","1999","Nessuna","N/A",101
"GABRIELLA","PASI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-6080-8170","Università degli Studi di Milano-Bicocca","APPROVED","Full Professor","N/A","Nessuna","N/A",267
"MAURO","PEZZÈ","(IINF-05/A)","Information Processing Systems","Full Professor","0000-0001-5193-7379","Università della Svizzera italiana Facoltà di scienze informatiche","TO CHECK","Professor","2007","software engineering, software testing, program analysis, self healing systems, symbolic execution","N/A",203
"RAIMONDO","SCHETTINI","(INFO-01/A)","Computer Science","Full Professor","0000-0001-7461-1451","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",272
"ALESSANDRA","AGOSTINI","(INFO-01/A)","Computer Science","Full Professor","0000-0002-2337-3745","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"DANIELA","BESOZZI","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-5532-3059","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"SIMONE","BIANCO","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-7070-1545","University of Milano-Bicocca","APPROVED","","N/A","Nessuna","N/A",160
"PIETRO","BRAIONE","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0001-9307-6781","University of Milano-Bicocca","APPROVED","Associate professor","2022","software quality, software verification, software analysis, machine learning","P-4323-2014",22
"FEDERICO","CABITZA","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-4065-3415","N/A","TO CHECK","N/A","N/A","Nessuna","L-2263-2013",142
"MICHELE","CIAVOTTA","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-2480-966X","Universita degli Studi di Milano-Bicocca","APPROVED","Ricercatore a tempo determinato","2017","Scheduling, Heuristics, Cloud, Computer Science, Operations Research","N/A",71
"GIANLUIGI","CIOCCA","(INFO-01/A)","Computer Science","Associate Professor","0000-0003-2878-2131","University of Milano-Bicocca","APPROVED","Associate Professor","2015","Nessuna","N/A",92
"FLAVIO","DE PAOLI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-5047-7371","Universita degli Studi di Milano-Bicocca","APPROVED","associate professor","2001","Nessuna","N/A",111
"GIANLUCA","DELLA VEDOVA","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-5584-3089","Universita' di Milano Bicocca","APPROVED","Docenti di ruolo di IIa fascia","2012","algorithms, computational biology, Goal 11: Sustainable cities and communities, Goal 3: Good health and well-being, PE6_13 - Bioinformatics, biocomputing, and DNA and molecular computation, PE6_6 - Algorithms, distributed, parallel and network algorithms, algorithmic game theory, PE6_4 - Theoretical computer science, formal methods, and quantum computing, ALGORITMI","N/A",112
"GIOVANNI","DENARO","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-7251-1510","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"ALBERTO","DENNUNZIO","(INFO-01/A)","Computer Science","Associate Professor","0000-0003-1420-404X","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"CLAUDIO","FERRETTI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-5562-7893","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"ELISABETTA","FERSINI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-8987-100X","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",38
"FRANCESCA","GASPARINI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-6279-6660","Universita degli Studi di Milano-Bicocca","APPROVED","Assistant Professor","2006","image processing, multimedia data processing","N/A",71
"ALBERTO","LEPORATI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-8105-4371","Università degli Studi di Milano-Bicocca","APPROVED","Associate Professor","2015","Natural and Unconventional Computing, Membrane Computing, P systems, Computational Complexity","N/A",69
"GUGLIELMO","LULLI","(MATH-06/A)","Operations Research","Associate Professor","0000-0001-5600-0331","Lancaster University Management School","TO CHECK","Professor","2015","Operations Research","N/A",41
"SARA LUCIA","MANZONI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-6406-536X","Università degli Studi di Milano-Bicocca Scuola di Scienze","APPROVED","Assistant professor","2003","Nessuna","N/A",4
"DANIELA","MICUCCI","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0003-1261-2234","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",64
"PAOLO","NAPOLETANO","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-9112-0574","N/A","TO CHECK","N/A","N/A","Computer Vision, Pattern Recognition, Information Retrieval,Texture Analysis","B-2186-2009",97
"MATTEO LUIGI","PALMONARI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-1801-5118","Università degli Studi di Milano-Bicocca","APPROVED","Associate Professor","N/A","Nessuna","N/A",73
"NYSSEN","PENALOZA","(INFO-01/A)","Computer Science","Associate Professor","","","TO CHECK","","","","",""
"YURI","PIROLA","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-8479-7592","Università degli Studi di Milano-Bicocca","APPROVED","Associate professor","2022","algorithms, bioinformatics","N/A",46
"LUCIA","POMELLO","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-5651-915X","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",7
"CLAUDIA","RAIBULET","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0002-7194-3159","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",77
"OLIVIERO","RIGANELLI","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0003-2120-2894","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",43
"RAFFAELLA","RIZZI","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-9730-7516","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",33
"FABIO","SARTORI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-5038-9785","University of Milano-Bicocca","APPROVED","Assistant Professo","2008","Nessuna","N/A",8
"DOMENICO G.","SORRENTI","(IINF-05/A)","Information Processing Systems","Associate Professor","0000-0002-4734-7330","Università degli Studi di Milano - Bicocca","APPROVED","assoc. prof.","2005","Nessuna","N/A",0
"FABIO ANTONIO","STELLA","(MATH-06/A)","Operations Research","Associate Professor","0000-0002-1394-0507","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",46
"MARCO","VIVIANI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-2274-9050","Università degli Studi di Milano-Bicocca","APPROVED","Associate Professor","2021","Nessuna","N/A",61
"GIUSEPPE","VIZZARI","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-7916-6438","University of Milano-Bicocca","APPROVED","Associate professor","N/A","Nessuna","N/A",204
"CLAUDIO","ZANDRON","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-2163-7639","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",10
"ITALO FRANCESCO","ZOPPIS","(INFO-01/A)","Computer Science","Associate Professor","0000-0001-7312-7123","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",40
"LUCA","BERNARDINELLO","(INFO-01/A)","Computer Science","Associate Professor","0000-0002-0639-7593","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",0
"MATTEO ALESSANDRO","DOMINONI","(IINF-05/A)","Information Processing Systems","Researcher","0000-0001-8481-6311","Università degli Studi di Milano-Bicocca","APPROVED","Assistant Professor","2002","Nessuna","N/A",3
"GUIDO GIUSEPPE","FIORINO","(INFO-01/A)","Computer Science","Researcher","0000-0002-0556-0723","N/A","TO CHECK","N/A","N/A","Nessuna","N/A",27
