,ORCID ID,ORCID_ID,Organization,Status,Role_Title,Start_Date,Keywords,Number_of_Works,Given_Name,Family_Name
500,0000-0001-9578-5338,0000-0001-9578-5338,Università Vita Salute San Raffaele,APPROVED,ASSOCIATE PROFESSOR OF CLINICAL BIOCHEMISTRY AND CLINICAL MOLECULAR BIOLOGY,2014,N/A,468,Giuseppe,Banfi
501,0000-0003-3089-6517,0000-0003-3089-6517,University of Twente,APPROVED,Assistant professor,2022,"cryptography, cellular automata",41,Luca,Mariot
502,0000-0002-8160-0766,0000-0002-8160-0766,N/A,APPROVED,N/A,N/A,N/A,31,Anshika,Sharma
503,0000-0003-0878-5263,0000-0003-0878-5263,Université Grenoble Alpes,APPROVED,Jeune Chercheur,2023,N/A,8,Gabriela Nicole,González Sáez
504,0000-0002-8035-0013,0000-0002-8035-0013,Università degli Studi di Padova,APPROVED,,N/A,N/A,0,Luigi,De Giovanni
505,0000-0003-3541-3641,0000-0003-3541-3641,University of Luxembourg,APPROVED,Associate Professor / Chief Scientist 2,2020,"Software enginering, Software testing, Software validation and verification, Dynamic program analysis, Model inference, Automated debugging",65,FABRIZIO,PASTORE
506,0000-0002-6826-3419,0000-0002-6826-3419,N/A,APPROVED,N/A,N/A,N/A,21,Linda Greta,Dui
507,0000-0002-5867-4046,0000-0002-5867-4046,Ecole Polytechnique,APPROVED,Assistant Professor,2011,"Computational Geometry, Computer Graphics, Geometry Processing",46,Maks,Ovsjanikov
508,0000-0002-5297-9893,0000-0002-5297-9893,N/A,APPROVED,N/A,N/A,N/A,7,Lidia,Alecci
509,0000-0002-5654-001X,0000-0002-5654-001X,Barcelona Supercomputing Center,APPROVED,Research Engineer,2019,"health, natural language processing, bioNLP, AI",2,Antonio,Miranda-Escalada
510,0000-0001-7780-0434,0000-0001-7780-0434,Università degli Studi di Bergamo,APPROVED,Assistant Professor,2011,N/A,1,Paolo,Cazzaniga
511,0000-0003-2203-3797,0000-0003-2203-3797,INAF,APPROVED,Tecnologo,2020,N/A,72,Fabio Roberto,Vitello
512,0000-0003-1694-931X,0000-0003-1694-931X,SYSBIO.IT - Centre of Systems Biology,APPROVED,Director,2012,Systems Biology,259,Lilia,Alberghina
513,0000-0002-3773-9744,0000-0002-3773-9744,Azienda Ospedaliero Universitaria Pisana,APPROVED,,2019,N/A,19,Domenico,Giannese
514,0000-0001-6312-7728,0000-0001-6312-7728,N/A,APPROVED,N/A,N/A,N/A,96,Luca,Manzoni
515,0000-0002-2979-2107,0000-0002-2979-2107,Università degli Studi di Milano-Bicocca,APPROVED,Assistant Professor,2022,"Biostatistics, Epidemiology, Digital Health, Comorbidity, eHealth, Addiction, Mental health",112,Cristina,Crocamo
516,0000-0001-8001-9470,0000-0001-8001-9470,Auburn University,APPROVED,Associate Professor,2023,N/A,57,Tin,Nguyen
517,0000-0002-3706-0993,0000-0002-3706-0993,Università degli Studi di Firenze,APPROVED,Professore Associato ,2006,N/A,14,Isabella,GAGLIARDI
518,0000-0001-8092-1499,0000-0001-8092-1499,N/A,APPROVED,N/A,N/A,N/A,26,SARA,ARLATI
519,0000-0001-7144-0984,0000-0001-7144-0984,N/A,APPROVED,N/A,N/A,N/A,0,Massimo,Del Fabbro
520,0000-0001-5718-630X,0000-0001-5718-630X,N/A,APPROVED,N/A,N/A,N/A,0,Anna,Ferrari
521,0000-0001-9525-1977,0000-0001-9525-1977,N/A,APPROVED,N/A,N/A,N/A,0,Haixin,Bi
522,0000-0002-9875-6070,0000-0002-9875-6070,N/A,APPROVED,N/A,N/A,N/A,0,Peter,Kellman
523,0000-0001-6472-3484,0000-0001-6472-3484,Università della Svizzera italiana,APPROVED,Full professor in Otorhinolaryngology,2023,"nose, paransal sinus, larynx, GPA, Vasculitis, cocaine, dacryocystorhinostomy, Tumor skull base",152,Matteo,Trimarchi
524,0000-0002-7834-3826,0000-0002-7834-3826,Università degli Studi di Milano-Bicocca,APPROVED,Assistant Professor,2022,N/A,42,Luca,Pancani
525,0000-0001-6879-2946,0000-0001-6879-2946,Università degli Studi di Enna Kore,APPROVED,Assistant Professor,N/A,N/A,20,Roberta,Bonomo
526,0000-0002-1637-7545,0000-0002-1637-7545,University of Parma,APPROVED,Temporary Assistant Professor with tenure track,2021,N/A,60,vincenzo,bonnici
527,0000-0002-6366-8433,0000-0002-6366-8433,N/A,APPROVED,N/A,N/A,N/A,31,Daniele,Romano
528,0000-0002-5562-9514,0000-0002-5562-9514,ANSYS Inc,APPROVED,R&D Manager ,2020,"Adaptive Systems, Software Testing, Software Engineering, Self-organizing Systems, Quality Assurance, Complex Systems, Artificial Intelligence",27,Benedikt,Eberhardinger
529,0000-0003-3012-3557,0000-0003-3012-3557,Human Technopole,APPROVED,Researcher,2022,"Docking, Molecular dynamics, Metadynamics, Enhanced Molecular Dynamics,free energy calculations, LS1_9 - Molecular mechanisms of signalling processes, LS1_1 - Macromolecular complexes including interactions involving nucleic acids, proteins, lipids and carbohydrates, PE4_11 - Physical chemistry of biological systems, PE3_16 - Physics of biological systems, LS2_11 - Bioinformatics and computational biology, LS1_14 - Innovative methods and modelling in molecular, structural and synthetic biology, LS1_8 - Structural biology",65,Andrea,Spitaleri
530,0000-0001-7961-0212,0000-0001-7961-0212,Fondazione Bruno Kessler,APPROVED,Researcher,2002,N/A,46,Michela,Lecca
531,0000-0001-9365-8167,0000-0001-9365-8167,Università degli Studi di Pavia,APPROVED,Associate Professor,2015,"Computer Vision, Pattern Recognition, Machine Learning, Biometrics",69,Claudio,Cusano
532,0000-0002-7212-8076,0000-0002-7212-8076,N/A,APPROVED,N/A,N/A,N/A,114,Alessandro,Antonietti
533,0000-0002-5099-0351,0000-0002-5099-0351,National and Kapodistrian University of Athens,APPROVED,Laboratory Education Staff,N/A,N/A,33,Varvara,Antoniou
534,0009-0000-7250-3158,0009-0000-7250-3158,N/A,APPROVED,N/A,N/A,N/A,1,Sofia,Amarù
535,0000-0002-0595-7165,0000-0002-0595-7165,Università Vita-Salute San Raffaele Facoltà di Medicina e Chirurgia,APPROVED,Dean of the Studies,2020,N/A,1128,Andrea,Salonia
536,0000-0001-6938-985X,0000-0001-6938-985X,N/A,APPROVED,N/A,N/A,N/A,21,Eliana Alessandra,Minelli
537,0000-0001-7191-5417,0000-0001-7191-5417,Università degli Studi di Milano-Bicocca,APPROVED,Professore Ordinario,N/A,N/A,153,Isabella,Castiglioni
538,0000-0001-7132-7703,0000-0001-7132-7703,Interuniversity Research Centre for Public Services,APPROVED,Research Fellow,2023,"data science, machine learning, explainable ai",10,Andrea,Seveso
