"Unnamed: 0","ORCID ID","Given_Name","Family_Name","Role","Keywords","Organization","H Index","Citations"
800,"0000-0002-0228-8701","Mauro Augusto","Campanella","Primo Tecnologo","Nessuna","Istituto Nazionale di Fisica Nucleare","",""
801,"0000-0003-1346-2493","Alison","Motsinger-Reif","","Nessuna","National Institute of Environmental Health Sciences",62,13986
802,"0000-0002-4954-3837","Riccardo","Pozzi","","Nessuna","University of Milano-Bicocca",4,29
803,"0000-0002-6505-2536","Didier","Dubois","","Nessuna","chercheur au CNRS",138,102834
804,"0000-0003-3384-4368","Subrahmanyam","Murala","","Nessuna","Associate Professor, CVPR Lab, SCSS, Trinity College Dublin, Ireland",39,5427
805,"0000-0003-2083-2907","Alex","Gutteridge","","Nessuna","Head of Bioinformatics at Dunad Therapeutics",29,5044
806,"0000-0002-5342-0426","Raúl","Sánchez-Vázquez","","Nessuna","Spanish National Cancer Research Centre, CNIO",4,145
807,"0000-0002-6243-4897","Lorenzo","Mella","","Nessuna","Unknown affiliation",2,16
808,"0000-0003-4895-5976","LE MANH","QUAN","","Nessuna","","",""
809,"0009-0001-3320-6166","Sandro","Erba","","Nessuna","","",""
810,"0000-0003-2511-6483","Murray","Patterson","","Nessuna","Professor of Ecological Economics",29,6586
811,"0000-0002-1491-4773","Loukia","Karacosta","Assistant Professor","Nessuna","University of Texas MD Anderson Cancer Center",9,862
812,"0000-0002-3853-1339","Ching An","Huang","","Nessuna","Xi'an Jiaotong University",21,5468
813,"0000-0002-7806-785X","Keagan","Moo","","Nessuna","","",""
814,"0000-0002-4779-486X","Kristoffer H.","Hellton","Associate Professor","Statistics, High-dimensional statistics","OsloMet – Oslo Metropolitan University",10,592
815,"0000-0002-0180-4540","Simone","Lederer","Academic Researcher","Nessuna","Univeristy Clinic Tübingen",16,2206
816,"0000-0002-2520-3512","riccardo","borgoni","","Nessuna","Università degli Studi di Milano-Bicocca",8,231
817,"0000-0002-9311-7093","Karthik","Raman","Professor","Nessuna","Indian Institute of Technology Madras",26,3784
818,"0000-0002-7218-2806","david","tamborero","","cancer, genomics, personalized medicine, big data, multi omics","Unknown affiliation",49,19229
819,"0000-0001-5418-8916","Fanyu","Meng","","Nessuna","Soitec Phoenix Labs; Arizona State University",10,345
820,"0000-0002-9563-2136","Brunella","Gerla","","Nessuna","University of Insubria",18,917
821,"0000-0003-3113-7942","Lorenz","Wernisch","","Nessuna","BIOS Health",38,6838
822,"0000-0002-8979-7647","Yongqiang","Li","","Nessuna","Nanjing University of Aeronautics and Astronautics",8,1309
823,"0000-0002-9575-861X","Elias","Chaibub Neto","Senior Scientist","Nessuna","Sage Bionetworks",26,4917
824,"0000-0003-1810-5540","Yipeng","Ma","","Nessuna","Shenzhen Innovation Immunotechnology Co., Ltd",16,1731
825,"0000-0002-1089-4488","Farida S.","Akhtari","","Biostatistics, Statistical genetics, Computational biology, Precision medicine, Health data science","Statistical Geneticist, National Institute of Environmental Health Sciences",7,456
