Unnamed: 0,Organization,openalex_id,country,type,homepage_url,works_count,cited_by_count
0,University of Milano-Bicocca,https://openalex.org/I66752286,IT,education,https://www.unimib.it,56059.0,1524762.0
1,University of Parma,https://openalex.org/I124601658,IT,education,https://www.unipr.it,54871.0,1541372.0
2,Norwegian University of Science and Technology,https://openalex.org/I204778367,NO,education,http://www.ntnu.edu,97496.0,2738154.0
3,Fondazione IRCCS Istituto Nazionale dei Tumori,https://openalex.org/I4210156707,IT,healthcare,http://www.istitutotumori.mi.it/,22524.0,939058.0
4,Vrije Universiteit Amsterdam,https://openalex.org/I865915315,NL,education,https://vu.nl/,100241.0,3777232.0
5,University of Exeter,https://openalex.org/I23923803,GB,education,https://www.exeter.ac.uk,89212.0,2818956.0
6,Genome Institute of Singapore,https://openalex.org/I66068411,SG,facility,https://www.a-star.edu.sg/gis/home,4186.0,311173.0
7,Charité Universitätsmedizin Berlin,https://openalex.org/I7877124,DE,healthcare,https://www.charite.de,128825.0,4418434.0
8,Università della Svizzera Italiana,https://openalex.org/I57201433,CH,education,https://www.usi.ch,12483.0,299945.0
9,Southeast University,https://openalex.org/I76569877,CN,education,https://www.seu.edu.cn,126784.0,2158532.0
10,King Abdullah University of Science and Technology (KAUST),https://openalex.org/I71920554,SA,education,https://www.kaust.edu.sa,35072.0,1161494.0
11,Universitätsmedizin Greifswald,https://openalex.org/I2799318839,DE,healthcare,https://www.medizin.uni-greifswald.de,17443.0,349869.0
12,University of Zagreb Faculty of Electrical Engineering and Computing,https://openalex.org/I181343428,HR,education,http://www.unizg.hr/,89477.0,1147132.0
13,RIKEN,https://openalex.org/I4210110652,JP,facility,https://www.riken.jp,40518.0,1232870.0
14,Maastricht University,https://openalex.org/I34352273,NL,education,https://www.maastrichtuniversity.nl,87797.0,3290141.0
15,Bristol Myers Squibb,https://openalex.org/I4210091812,US,company,https://www.bms.com/,19452.0,919722.0
16,"Lincoln University,New Zealand",https://openalex.org/I184746854,NZ,education,https://www.lincoln.ac.nz,10626.0,339436.0
17,Istituto Giannina Gaslini,https://openalex.org/I2801463291,IT,healthcare,http://www.gaslini.org/,14389.0,415145.0
