Unnamed: 0,Organization,openalex_id,country,type,homepage_url,works_count,cited_by_count
18,"Researcher , INMA Bucharest",,,,,,
51,"Qualcomm, Sandiego",,,,,,
52,Unknown affiliation,,,,,,
53,Huawei Noah's Ark Lab,,,,,,
56,"Researcher in Bioinformatics, Institute for Biomedical Technologies",,,,,,
60,Lastminute.com,,,,,,
67,JOT INTERNET MEDIA (Head of Research Lab),,,,,,
71,Breitmeier Messtechnik GmbH,,,,,,
75,Professor do Programa de Pós Graduação em Engenharia de Produção e Sistemas - PPGEPS UNISINOS,,,,,,
78,Harvard Medical School,,,,,,
87,LMU München,,,,,,
93,UKAEA,,,,,,
94,Apple Inc,,,,,,
98,"Illumina, Inc.",,,,,,
100,Centre Nacional d’Anàlisi Genòmica,,,,,,
109,Samsung Electronics,,,,,,
118,INFN resercher,,,,,,
123,Cerebri AI,,,,,,
126,ETS Montréal,,,,,,
133,Consiglio Nazionale delle Ricerche,,,,,,
134,Elsevier,,,,,,
137,NEC Corporation,,,,,,
140,The University of Manchester,,,,,,
141,Bogor Agricultural University,,,,,,
149,CMAR,,,,,,
150,Centrica Business Solutions,,,,,,
153,MobileODT inc.,,,,,,
155,Xilinx Inc,,,,,,
156,University Pierre Marie Curie,,,,,,
158,Klick Inc,,,,,,
159,"HUE, China.",,,,,,
165,Samsung Research China-Beijing,,,,,,
166,Sony Interactive Entertainment,,,,,,
170,The System Biology Institute,,,,,,
171,Skånes universitetssjukhus Lund Hematologiska kliniken,,,,,,
177,Jumping Rivers,,,,,,
181,Structure Therapeutics,,,,,,
183,INAF - Osservatorio Astrofisico di Catania,,,,,,
191,Independent Researcher,,,,,,
192,Pineta Grande Srl,,,,,,
196,Fondazione Don Carlo Gnocchi,,,,,,
197,Federal University of Alagoas,,,,,,
211,Istituto di Scienze e Tecnologie per l'Energia e la Mobilità Sostenibili,,,,,,
215,Enseignante chercheuse à ISIMG,,,,,,
221,CASIA,,,,,,
231,Mind Medicine Inc.,,,,,,
234,FIOCRUZ,,,,,,
237,"Associate Professor, Department of Humanistic Studies (DISTUM), University of Urbino Carlo Bo, Italy",,,,,,
240,Universidade de Sao Paulo,,,,,,
241,"Research Scientist, ByteDance Ltd.",,,,,,
247,PI ProCURE Catalan Institute of Oncology,,,,,,
250,CNP/CHUV,,,,,,
251,ingeniería en administración,,,,,,
253,Researcher,,,,,,
254,"Sinocloud Wisdom (Beijing) technology co., ltd",,,,,,
256,Roche Innovation Center Munich,,,,,,
259,"Professor of Chemistry, NYU Shanghai, ECNU, SUAT",,,,,,
260,Abalone Bio,,,,,,
261,Universidade da Coruña (ROR 01qckj285). CITIC-Research Center of Information and Communication,,,,,,
267,"Bioloomics, Inc.",,,,,,
273,Igenomix SL,,,,,,
295,"University of California, San Diego",,,,,,
302,Everest Clinical Research,,,,,,
307,Institute for Information Transmission Problems of the Russian Academy of Sciences,,,,,,
308,北京华夏春松科技有限公司,,,,,,
311,Ksana Health Inc.,,,,,,
313,"University of California, Santa Barbara",,,,,,
317,Qruise GmbH,,,,,,
319,E4 Computer Engineering SpA,,,,,,
322,"TileDB, Inc.",,,,,,
323,Inria Centre de Recherche de Paris,,,,,,
326,Menarini Ricerche SpA,,,,,,
335,Guardant Health,,,,,,
336,Shaanxi Green Wiser Environmental Protection Technology Company Limited,,,,,,
337,Julius-Maximilians-Universität Würzburg,,,,,,
339,XPeng Inc,,,,,,
341,IRCC San Raffaele Hospital,,,,,,
343,Cambrex Profarmaco Milano,,,,,,
346,Honam National Institute of Biological Resources (HNIBR),,,,,,
347,Congenica Ltd,,,,,,
356,University of Avignon,,,,,,
360,Human Predictions,,,,,,
362,Stazione Utopia,,,,,,
364,AIgnostics,,,,,,
368,Shift Lab,,,,,,
369,The Hospital for Sick Children,,,,,,
372,University of California Riverside School of Medicine,,,,,,
376,Universidad Andina Nestor Caceres Velasquez,,,,,,
377,Megvii Inc.,,,,,,
379,University of Valencia,,,,,,
382,Raytheon BBN Technologies,,,,,,
387,Samsung Research,,,,,,
392,Head of the Lab at Institute for Information Transmission Problems RAS,,,,,,
393,INRAE Centre de Jouy-en-Josas,,,,,,
397,Ningbo University of Finance and Economics,,,,,,
400,Janssen Research and Development,,,,,,
402,Microsoft Health Futures,,,,,,
417,Fred Hutchinson Cancer Research Center,,,,,,
429,namsang dental clinic,,,,,,
430,Medstar Antalya Hospital,,,,,,
431,Universidade de São Paulo Escola Politécnica,,,,,,
436,ASST Bergamo Ovest,,,,,,
440,Bloomberg LP,,,,,,
441,Universitat Rovira i Virgili,,,,,,
442,Policlinico di Monza SpA,,,,,,
451,STALICLA,,,,,,
452,Penn State College of Medicine,,,,,,
455,Federal University of Uberlândia,,,,,,
458,Oncodrug Ltd,,,,,,
462,ByteDance Inc.,,,,,,
465,Florida Otolaryngology Group,,,,,,
473,Keck School of Medicine of USC,,,,,,
474,CERN,,,,,,
477,University Politehnica Timisoara,,,,,,
479,CHRU Nîmes,,,,,,
484,IIAI,,,,,,
485,Kaiko,,,,,,
488,HITS gGmbH,,,,,,
490,Azienda Unità Sanitaria Locale di Piacenza,,,,,,
492,IIS-Fundacion Jimenez Diaz. Autonoma University of Madrid,,,,,,
496,Dehua County Hospital,,,,,,
497,"Senior Director, Takeda Neuroscience",,,,,,
498,Nokia Bell Labs,,,,,,
510,lastminute.com,,,,,,
518,Dunad Therapeutics,,,,,,
519,CNIO,,,,,,
521,Univeristy Clinic Tübingen,,,,,,
523,BIOS Health,,,,,,
525,Shenzhen Innovation Immunotechnology,,,,,,
526,Tehran Disaster Mitigation and Management Organization,,,,,,
529,Symanto Research,,,,,,
533,CODE AHOI,,,,,,
534,Institute of Nanotechnology CNR-NANOTEC,,,,,,
538,Tergooi Hospital,,,,,,
540,Clinical Center of Vojvodina,,,,,,
550,INSA Rouen Normandie,,,,,,
552,Istituto Regina Elena,,,,,,
556,みずほ情報総研株式会社,,,,,,
559,Instituto Politecnico de Castelo Branco,,,,,,
564,Virginia Polytechnic Institute,,,,,,
568,"Gilead Sciences, Inc",,,,,,
581,AIGEN Sciences Inc.,,,,,,
584,LIUC,,,,,,
586,Retired,,,,,,
588,Kuaishou Technology,,,,,,
590,University of Connecticut School of Medicine,,,,,,
593,Universitätsklinikum Greifswald,,,,,,
595,Politecnico of Turin,,,,,,
596,SeqOne,,,,,,
604,AI Investments.pl,,,,,,
608,LMU Munich,,,,,,
614,Way2VAT,,,,,,
622,KRISS,,,,,,
623,Institución universitaria Antonio Jose Camacho,,,,,,
624,Voyage 81,,,,,,
639,Biosoft.Ru,,,,,,
642,Telco Cloud Engineer,,,,,,
644,Jamal Mohamed College,,,,,,
646,San Gerardo Hospital,,,,,,
647,Visa Research,,,,,,
649,Biostatitian,,,,,,
653,Milner Therapeutics Institute,,,,,,
654,GreeNovel Inc.,,,,,,
656,Université de Nice Sophia Antipolis,,,,,,
658,Evocargo LLC,,,,,,
659,Global Change Research Institute CAS,,,,,,
663,Helixon,,,,,,
665,KAIST,,,,,,
670,Optrail,,,,,,
673,Laboratory for Systems Biology and Bio-Inspired Engineering,,,,,,
682,Federal University of Ouro,,,,,,
683,KETI,,,,,,
691,OCAS NV,,,,,,
695,SAS Institute Inc.,,,,,,
