,Institution,openalex_id,country,type,homepage_url,works_count,cited_by_count,corrected_university_name
0,Università Vita Salute San Raffaele,https://openalex.org/I154387261,IT,education,https://www.unisr.it,31814.0,1021638.0,Vita-Salute San Raffaele University
1,University of Twente,https://openalex.org/I94624287,NL,education,https://www.utwente.nl,72095.0,2129284.0,University of Twente
2,Université Grenoble Alpes,https://openalex.org/I899635006,FR,education,https://www.univ-grenoble-alpes.fr,99453.0,2223877.0,Université Grenoble Alpes
3,Università degli Studi di Padova,https://openalex.org/I138689650,IT,education,https://www.unipd.it,173974.0,5040582.0,University of Padua
4,University of Luxembourg,https://openalex.org/I186903577,LU,education,http://wwwen.uni.lu/,46905.0,525471.0,University of Luxembourg
5,Ecole Polytechnique,https://openalex.org/I5124864,CH,education,http://www.epfl.ch,142039.0,5994414.0,École Polytechnique
6,Barcelona Supercomputing Center,https://openalex.org/I2799803557,ES,facility,https://www.bsc.es/,7134.0,185779.0,Barcelona Supercomputing Center
7,Università degli Studi di Bergamo,https://openalex.org/I11039511,IT,education,https://www.unibg.it,12886.0,246510.0,University of Bergamo
8,INAF,,,,,,,"The text ""INAF"" does not refer to a university. It stands for **Istituto Nazionale di Astrofisica**, which is the Italian National Institute for Astrophysics."
9,SYSBIO.IT - Centre of Systems Biology,,,,,,,SYSBIO.IT
10,Azienda Ospedaliero Universitaria Pisana,https://openalex.org/I108290504,IT,education,https://www.unipi.it,112405.0,3053705.0,University of Pisa
11,Università degli Studi di Milano-Bicocca,,,,,,,University of Milan-Bicocca
12,Auburn University,https://openalex.org/I82497590,US,education,https://auburn.edu,69502.0,1592803.0,Auburn University
13,Università degli Studi di Firenze,https://openalex.org/I45084792,IT,education,https://www.unifi.it,117496.0,3100387.0,University of Florence
14,Università della Svizzera italiana,https://openalex.org/I57201433,CH,education,https://www.usi.ch,12473.0,298874.0,Università della Svizzera italiana
15,Università degli Studi di Enna Kore,https://openalex.org/I246010334,IT,education,http://www.unikore.it/,3723.0,57815.0,Università degli Studi di Enna Kore
16,University of Parma,https://openalex.org/I124601658,IT,education,https://www.unipr.it,54805.0,1535707.0,University of Parma
17,ANSYS Inc,,,,,,,ANSYS is not a university. It is a software company.
18,Human Technopole,https://openalex.org/I4210115812,IT,facility,https://humantechnopole.it/it/,933.0,11092.0,Human Technopole
19,Fondazione Bruno Kessler,https://openalex.org/I2277624104,IT,facility,https://www.fbk.eu,8010.0,195023.0,Fondazione Bruno Kessler
20,Università degli Studi di Pavia,https://openalex.org/I25217355,IT,education,http://www.unipv.eu/site/en/home.html,79937.0,2249170.0,University of Pavia
21,National and Kapodistrian University of Athens,https://openalex.org/I200777214,GR,education,https://www.uoa.gr,108552.0,2741790.0,National and Kapodistrian University of Athens
22,Università Vita-Salute San Raffaele Facoltà di Medicina e Chirurgia,https://openalex.org/I154387261,IT,education,https://www.unisr.it,31814.0,1021638.0,Vita-Salute San Raffaele University
23,Interuniversity Research Centre for Public Services,,,,,,,"The text does not mention a specific university name. It refers to an ""Interuniversity Research Centre""."
24,IRCCS Humanitas Research Hospital,https://openalex.org/I4210163047,IT,healthcare,http://www.humanitas.it/en,9454.0,185508.0,IRCCS Humanitas Research Hospital
25,Istituto di Bioimmagini e Sistemi Biologici Complessi,https://openalex.org/I27897274,IT,government,http://www.iss.it/chis/?lang=2,27479.0,971971.0,Istituto Superiore di Sanità
26,Instituto Politécnico Nacional,https://openalex.org/I59361560,MX,education,http://www.ipn.mx/english/Paginas/Inicio.aspx,71070.0,1045290.0,Instituto Politécnico Nacional
27,Azienda Socio Sanitaria Territoriale di Monza,,,,,,,Monza
28,University College London,https://openalex.org/I45129253,GB,education,http://www.ucl.ac.uk/,468556.0,18477812.0,University College London
29,Humanitas University,https://openalex.org/I1339471597,IT,education,http://www.hunimed.eu/,15491.0,386729.0,Humanitas University
