,Organization,openalex_id,country,type,homepage_url,works_count,cited_by_count
601,Kazan Federal University,https://openalex.org/I21203515,RU,education,https://kpfu.ru,33004.0,321049.0
602,Ozyegin University,https://openalex.org/I44925452,TR,education,https://www.ozyegin.edu.tr/,3986.0,60076.0
603,University of Glasgow,https://openalex.org/I7882870,GB,education,http://www.gla.ac.uk/,162000.0,5339340.0
604,AI Investments.pl,,,,,,
605,University of Cagliari,https://openalex.org/I172446870,IT,education,http://www.unica.it/,43937.0,1049477.0
606,University of Connecticut Health Center,https://openalex.org/I140172145,US,education,http://uconn.edu/,107200.0,3569507.0
607,Escola Paulista de Medicina-Universidade Federal de São Paulo,https://openalex.org/I88273585,BR,education,http://www.unifesp.br/,76901.0,1406674.0
608,LMU Munich,,,,,,
609,Massachusetts Eye and Ear Infirmary,https://openalex.org/I1287163989,US,healthcare,http://www.masseyeandear.org/,21195.0,783321.0
610,Nanyang technological university,https://openalex.org/I172675005,SG,education,http://www.ntu.edu.sg/Pages/home.aspx,161048.0,5149413.0
611,Sardegna Ricerche,https://openalex.org/I4210098674,IT,company,http://www.sardegnaricerche.it/en/,333.0,8110.0
612,Özyeğin University,https://openalex.org/I44925452,TR,education,https://www.ozyegin.edu.tr/,3986.0,60076.0
613,Roswell Park Comprehensive Cancer Center,https://openalex.org/I1292894508,US,facility,https://www.roswellpark.org/,28981.0,1234852.0
614,Way2VAT,,,,,,
615,University of Missouri,https://openalex.org/I76835614,US,education,http://missouri.edu/,120179.0,3694761.0
616,Newcastle  University,https://openalex.org/I84884186,GB,education,https://www.ncl.ac.uk,123489.0,4142674.0
617,Hunan University,https://openalex.org/I16609230,CN,education,https://www.hnu.edu.cn,77898.0,1738379.0
618,Tsinghua University,https://openalex.org/I99065089,CN,education,https://www.tsinghua.edu.cn,308544.0,7652286.0
619,University of Southern California,https://openalex.org/I1174212,US,education,https://usc.edu,248363.0,10013109.0
620,huawei,https://openalex.org/I2250955327,CN,company,http://www.huawei.com/en/,11210.0,149867.0
621,AstraZeneca,https://openalex.org/I105036370,GB,company,http://www.astrazeneca.co.uk/home,18066.0,794805.0
622,KRISS,,,,,,
623,Institución universitaria Antonio Jose Camacho,,,,,,
624,Voyage 81,,,,,,
625,Università di Bologna,https://openalex.org/I9360294,IT,education,https://www.unibo.it,177575.0,4717597.0
626,Adobe,https://openalex.org/I1306409833,US,company,https://www.adobe.com/,4660.0,214358.0
627,IIT-Madras,https://openalex.org/I24676775,IN,facility,https://www.iitm.ac.in/,57216.0,961373.0
628,Penn State,https://openalex.org/I82783531,US,healthcare,http://www.pennstatehershey.org/web/guest/welcome,33577.0,887409.0
629,Bocconi University,https://openalex.org/I71209653,IT,education,https://www.unibocconi.it,17335.0,504011.0
630,University of Łódź ,https://openalex.org/I34250744,PL,education,https://www.uni.lodz.pl,48934.0,474366.0
631,Swinburne University of Technology,https://openalex.org/I57093077,AU,education,http://www.swinburne.edu.au/,38273.0,1047931.0
632,University of Stirling,https://openalex.org/I12093191,GB,education,https://www.stir.ac.uk,30569.0,954583.0
633,Università di Padova,https://openalex.org/I138689650,IT,education,https://www.unipd.it,174784.0,5079413.0
634,University of Ioannina,https://openalex.org/I194019607,GR,education,https://uoi.gr,31539.0,951858.0
635,Institute of Biomedical Tecgnology (CNR-ITB),https://openalex.org/I4210154278,IT,facility,http://www.itb.cnr.it/,2513.0,109507.0
636,Benha University,https://openalex.org/I207547235,EG,education,http://www.bu.edu.eg/en/,24246.0,253253.0
637,Pacific Northwest National Laboratory,https://openalex.org/I142606810,US,facility,http://www.pnnl.gov/,433622.0,1909808.0
638,Ansbach University,https://openalex.org/I4210102060,DE,education,https://www.hs-ansbach.de/en/index.html,608.0,4179.0
639,Biosoft.Ru,,,,,,
640,UC-San Diego,https://openalex.org/I2800935791,US,healthcare,https://health.ucsd.edu/,5518.0,156232.0
