Institution;openalex_id;country;type;homepage_url;works_count;cited_by_count;corrected_university_name
Università Vita Salute San Raffaele;https://openalex.org/I154387261;IT;education;https://www.unisr.it;31814.0;1021638.0;Vita-Salute San Raffaele University
University of Twente;https://openalex.org/I94624287;NL;education;https://www.utwente.nl;72095.0;2129284.0;University of Twente
Université Grenoble Alpes;https://openalex.org/I899635006;FR;education;https://www.univ-grenoble-alpes.fr;99453.0;2223877.0;Université Grenoble Alpes
Università degli Studi di Padova;https://openalex.org/I138689650;IT;education;https://www.unipd.it;173974.0;5040582.0;University of Padua
University of Luxembourg;https://openalex.org/I186903577;LU;education;http://wwwen.uni.lu/;46905.0;525471.0;University of Luxembourg
Ecole Polytechnique;https://openalex.org/I5124864;CH;education;http://www.epfl.ch;142039.0;5994414.0;École Polytechnique
Barcelona Supercomputing Center;https://openalex.org/I2799803557;ES;facility;https://www.bsc.es/;7134.0;185779.0;Barcelona Supercomputing Center
Università degli Studi di Bergamo;https://openalex.org/I11039511;IT;education;https://www.unibg.it;12886.0;246510.0;University of Bergamo
INAF;;;;;;;INAF
SYSBIO.IT - Centre of Systems Biology;;;;;;;SYSBIO.IT
Azienda Ospedaliero Universitaria Pisana;https://openalex.org/I108290504;IT;education;https://www.unipi.it;112405.0;3053705.0;University of Pisa
Auburn University;https://openalex.org/I82497590;US;education;https://auburn.edu;69502.0;1592803.0;Auburn University
Università degli Studi di Firenze;https://openalex.org/I45084792;IT;education;https://www.unifi.it;117496.0;3100387.0;University of Florence
Università della Svizzera italiana;https://openalex.org/I57201433;CH;education;https://www.usi.ch;12473.0;298874.0;Università della Svizzera italiana
Università degli Studi di Enna Kore;https://openalex.org/I246010334;IT;education;http://www.unikore.it/;3723.0;57815.0;Università degli Studi di Enna Kore
University of Parma;https://openalex.org/I124601658;IT;education;https://www.unipr.it;54805.0;1535707.0;University of Parma
ANSYS Inc;;;;;;;ANSYS
Human Technopole;https://openalex.org/I4210115812;IT;facility;https://humantechnopole.it/it/;933.0;11092.0;Human Technopole
Fondazione Bruno Kessler;https://openalex.org/I2277624104;IT;facility;https://www.fbk.eu;8010.0;195023.0;Fondazione Bruno Kessler
Università degli Studi di Pavia;https://openalex.org/I25217355;IT;education;http://www.unipv.eu/site/en/home.html;79937.0;2249170.0;University of Pavia
National and Kapodistrian University of Athens;https://openalex.org/I200777214;GR;education;https://www.uoa.gr;108552.0;2741790.0;National and Kapodistrian University of Athens
