Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.3390/a15100376,"Listening to the City, Attentively: A Spatio-Temporal Attention-Boosted Autoencoder for the Short-Term Flow Prediction Problem",2022,journal-article,https://doi.org/10.3390/a15100376,"0000-0001-9803-3668, 0000-0001-5432-7584, 0000-0002-2480-966X",Traffic Flow Prediction and Forecasting,Building and Construction,Engineering,Physical Sciences,54,10,"['Autoencoder', 'Traffic Flow', 'Short-Term Forecasting', 'Transit Network Design', 'Traffic Assignment', 'Social Sensing']"
10.1016/j.compbiomed.2024.108028,An integrated computational pipeline for machine learning-driven diagnosis based on Raman spectra of saliva samples,2024,journal-article,https://doi.org/10.1016/j.compbiomed.2024.108028,"0000-0002-4062-0824, 0000-0001-8566-7223, 0000-0002-8337-0415, 0000-0002-5543-0505, 0000-0003-2996-5714, 0000-0003-2618-3661",Biomedical Applications of Spectroscopy Techniques,Biophysics,"Biochemistry, Genetics and Molecular Biology",Life Sciences,42,2,"['Raman Spectroscopy', 'Coherent Anti-Stokes Raman Scattering Microscopy', 'Transfer Learning', 'Automated Diagnosis', 'Infrared Spectroscopy']"
10.3390/math11204347,Safe Optimal Control of Dynamic Systems: Learning from Experts and Safely Exploring New Policies,2023,journal-article,https://doi.org/10.3390/math11204347,"0000-0002-4062-0824, 0000-0003-1431-576X, 0000-0003-4187-4209, 0000-0002-8987-100X, 0000-0003-1131-3830",Multiobjective Optimization in Evolutionary Algorithms,Computational Theory and Mathematics,Computer Science,Physical Sciences,21,0,"['Soft Systems Methodology', 'Decision-making', 'System Dynamics']"
10.3390/a16100479,Problem-Driven Scenario Generation for Stochastic Programming Problems: A Survey,2023,journal-article,https://doi.org/10.3390/a16100479,"0000-0002-4062-0824, 0000-0003-1491-9336",Robust Optimization for Risk Management and Finance,Management Science and Operations Research,Decision Sciences,Social Sciences,48,0,"['Stochastic Programming', 'Robust Decision Making']"
10.3390/healthcare11111604,Embedding the Patient-Citizen Perspective into an Operational Framework for the Development and the Introduction of New Technologies in Rehabilitation Care: The Smart&amp;Touch-ID Model,2023,journal-article,https://doi.org/10.3390/healthcare11111604,"0000-0002-4062-0824, 0000-0002-7879-4723, 0000-0002-2851-8376, 0000-0003-1489-321X, 0000-0003-1261-2234, 0000-0002-8395-0452, 0000-0003-1342-5908, 0000-0002-5551-4741, 0000-0003-0573-7178, 0009-0003-5599-9181, 0000-0002-7659-885X, 0000-0003-2411-999X, 0000-0003-1381-9069, 0000-0002-1373-5802, 0000-0003-4772-9109, 0000-0002-6145-5274",Telemedicine in Global Healthcare,"Public Health, Environmental and Occupational Health",Medicine,Health Sciences,26,2,"['Remote Treatment', 'Patient Engagement']"
10.1007/978-3-031-13448-7_15,Deep Attributed Graph Embeddings,2022,book-chapter,https://doi.org/10.1007/978-3-031-13448-7_15,"0000-0002-4062-0824, 0000-0002-8987-100X, 0009-0000-3537-1977",Graph Neural Network Models and Applications,Artificial Intelligence,Computer Science,Physical Sciences,19,2,"['Graph embedding', 'Knowledge Graph Embedding', 'Representation Learning', 'Network Embedding', 'Signal Processing on Graphs', 'Graph Neural Networks', 'Representation (politics)', 'Clustering coefficient', 'Topological graph theory']"
10.1016/j.ipm.2021.102537,LearningToAdapt with word embeddings: Domain adaptation of Named Entity Recognition systems,2021,journal-article,https://doi.org/10.1016/j.ipm.2021.102537,"0000-0002-4062-0824, 0000-0002-7998-2267, 0000-0002-6328-9089, 0000-0002-8987-100X, 0000-0002-1801-5118",Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences,90,40,"['Named Entity Recognition', 'Domain adaptation', 'Language Modeling', 'Neural Machine Translation', 'Multi-label Learning', 'Topic Modeling']"
10.1007/978-3-030-80599-9_4,Word Embedding-Based Topic Similarity Measures,2021,book-chapter,https://doi.org/10.1007/978-3-030-80599-9_4,"0000-0002-4062-0824, 0000-0002-0358-1854, 0000-0002-8987-100X",Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences,27,15,"['Similarity (geometry)', 'Benchmark (surveying)', 'Topic Modeling', 'Theme (computing)', 'Word embedding', 'Semantic Similarity']"
10.1007/978-3-030-64583-0_31,Optimal Scenario-Tree Selection for Multistage Stochastic Programming,2020,book-chapter,https://doi.org/10.1007/978-3-030-64583-0_31,"0000-0002-4062-0824, 0000-0002-8518-5352, 0000-0003-1431-576X, 0000-0003-1131-3830",Gaussian Processes in Machine Learning,Artificial Intelligence,Computer Science,Physical Sciences,19,2,"['Tree (set theory)', 'Portfolio Optimization', 'Robust Decision Making', 'Stochastic Programming', 'Robust Optimization', 'Multi-Objective Optimization']"
10.1007/978-3-030-64583-0_27,Relational Bayesian Model Averaging for Sentiment Analysis in Social Networks,2020,book-chapter,https://doi.org/10.1007/978-3-030-64583-0_27,"0000-0002-4062-0824, 0000-0001-5531-3854, 0000-0002-8987-100X",Data Mining Techniques and Applications,Information Systems,Computer Science,Physical Sciences,23,1,"['Sentiment analysis', 'Benchmark (surveying)', 'Statistical relational learning', 'Ensemble Learning', 'Probabilistic Learning', 'Structure Learning', 'Inference Algorithms']"
10.3390/s19235192,Efficient Kernel-Based Subsequence Search for Enabling Health Monitoring Services in IoT-Based Home Setting,2019,journal-article,https://doi.org/10.3390/s19235192,"0000-0002-4062-0824, 0000-0003-1431-576X, 0000-0002-8896-5047",Clustering of Time Series Data and Algorithms,Signal Processing,Computer Science,Physical Sciences,32,3,"['Kernel (algebra)', 'Benchmark (surveying)', 'Dynamic Time Warping', 'Pattern Discovery', 'Similarity Measures', 'Dimensionality Reduction']"
10.1016/j.cor.2019.02.003,Computers &amp; operations research,2019,journal-article,,"0000-0002-4062-0824, 0000-0002-8987-100X, 0000-0002-0785-1583, 0000-0001-5484-0994",Design and Control of Warehouse Operations,Industrial and Manufacturing Engineering,Engineering,Physical Sciences,0,0,"['Dynamic Scheduling', 'Scheduling', 'Hybrid Optimization', 'Multi-objective', 'Manufacturing']"
10.1016/j.ins.2019.09.039,Constrained Relational Topic Models,2019,journal-article,,"0000-0002-4062-0824, 0000-0002-0358-1854, 0000-0002-8987-100X",Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences,70,15,"['Topic Modeling', 'Benchmark (surveying)', 'Pretrained Models', 'Language Modeling', 'Named Entity Recognition', 'Document Categorization', 'Subject-matter expert']"
10.1007/978-3-030-29563-9_13,Word Embeddings for Unsupervised Named Entity Linking,2019,book-chapter,https://doi.org/10.1007/978-3-030-29563-9_13,"0000-0002-4062-0824, 0000-0002-7998-2267, 0000-0002-3018-0140, 0000-0002-8987-100X",Natural Language Processing,Artificial Intelligence,Computer Science,Physical Sciences,44,3,"['Named Entity Recognition', 'Language Modeling', 'Semantic Similarity', 'Part-of-Speech Tagging', 'Word Representation']"
10.1145/3660794,Predicting Failures of Autoscaling Distributed Applications,2024,journal-article,https://doi.org/10.1145/3660794,"0000-0001-5193-7379, 0000-0002-7566-8051, 0000-0002-4871-3734, 0009-0002-7428-2429, 0000-0003-3033-3044, 0009-0002-9750-2762",Log Analysis and System Performance Diagnosis,Computer Networks and Communications,Computer Science,Physical Sciences,26,0,"['Performance indicator', 'Model-driven Performance Prediction', 'Performance Prediction', 'Fault Localization', 'Cloud-Native Architecture', 'Scalability', 'Data set']"
10.1145/3656301,Editorial: ICSE and the Incredible Contradictions of Software Engineering,2024,journal-article,https://doi.org/10.1145/3656301,0000-0001-5193-7379,Impact of Big Data Analytics on Business Performance,Management Information Systems,"Business, Management and Accounting",Social Sciences,0,0,['Data Science']
10.1007/s10664-023-10406-8,Semantic matching in GUI test reuse,2024,journal-article,https://doi.org/10.1007/s10664-023-10406-8,"0000-0001-5193-7379, 0000-0001-8512-5029, 0000-0002-4844-4351, 0000-0001-5885-9297",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,53,0,"['Semantic Similarity', 'Search-Based Testing', 'Language Modeling', 'Automated Testing', 'Part-of-Speech Tagging']"
10.1145/3639829,Introduction to the Special Issue “Applying Innovative Technologies to Digitised and Born-Digital Archives”,2023,journal-article,https://doi.org/10.1145/3639829,0000-0001-5193-7379,Archival Science and Digital Preservation,Conservation,Arts and Humanities,Social Sciences,0,1,"['Digital Preservation', 'Archival Activism', 'Archives']"
10.1109/TSE.2023.3327583,Prevent: An Unsupervised Approach to Predict Software Failures in Production,2023,journal-article,https://doi.org/10.1109/TSE.2023.3327583,"0000-0001-5193-7379, 0000-0002-7566-8051, 0009-0002-7428-2429, 0000-0002-4844-4351",Log Analysis and System Performance Diagnosis,Computer Networks and Communications,Computer Science,Physical Sciences,57,4,"['Software Defect Prediction', 'Model-driven Performance Prediction', 'Fault Localization', 'Unsupervised', 'Performance Prediction', 'Supervised learning']"
10.1145/3551349.3556961,Call Me Maybe: Using NLP to Automatically Generate Unit Test Cases Respecting Temporal Constraints,2022,conference-paper,https://doi.org/10.1145/3551349.3556961,"0000-0001-5193-7379, 0000-0002-9635-2400, 0000-0002-6711-3080, 0000-0001-9379-277X",Automated Software Testing Techniques,Software,Computer Science,Physical Sciences,32,6,"['Test Case Prioritization', 'Testing-Effort Dependent Models', 'Unit testing']"
