Doi,Title,Year,Type,Url,Authors,Topic,Subfield,Field,Domain,Cites,Cited_by,Keywords,Abstract
10.1016/j.bcra.2024.100222,Looking for Stability in Proof-of-Stake based Consensus Mechanisms,2024,journal-article,https://doi.org/10.1016/j.bcra.2024.100222,"0000-0002-8105-4371, 0000-0001-5093-7932",Blockchain and Internet of Things Integration,Information Systems,Computer Science,Physical Sciences,17,0,"['Validator', 'Tweaking', 'Consistency', 'Consensus algorithm']"
10.1145/3643651.3659893,Transformer-based Language Models and Homomorphic Encryption: An Intersection with BERT-tiny,2024,conference-paper,https://doi.org/10.1145/3643651.3659893,"0000-0002-8105-4371, 0000-0001-5093-7932",Advanced Cryptographic Schemes and Protocols,Artificial Intelligence,Computer Science,Physical Sciences,15,1,"['Homomorphic Encryption', 'Attribute-Based Encryption', 'Pairing-based Cryptography', 'Lattice-based Cryptography', 'Searchable Encryption']"
10.1145/3672405,A Role and Reward Analysis in Off-chain Mechanisms for Executing MEV Strategies in Ethereum Proof-of-Stake,2024,journal-article,https://doi.org/10.1145/3672405,"0000-0002-8105-4371, 0000-0002-9559-8476, 0000-0002-2274-9050, 0000-0002-7566-8051",Blockchain and Internet of Things Integration,Information Systems,Computer Science,Physical Sciences,3,0,"['Externality', 'Proof of concept', 'Profiling (computer programming)', 'Blockchain', 'Proof-of-work system']"
10.1142/S0129065724500254,Encrypted Image Classification with Low Memory Footprint Using Fully Homomorphic Encryption,2024,journal-article,https://doi.org/10.1142/S0129065724500254,"0000-0002-8105-4371, 0000-0001-5093-7932",Advanced Cryptographic Schemes and Protocols,Artificial Intelligence,Computer Science,Physical Sciences,26,3,"['Memory footprint', 'Image Encryption', 'Color Image Encryption', 'Homomorphic Encryption', 'Laptop', 'Privacy-Preserving Computation', 'Optical Encryption', 'Functional encryption']"
10.1016/j.swevo.2022.101223,Inferring P systems from their computing steps: An evolutionary approach,2022,journal-article,https://doi.org/10.1016/j.swevo.2022.101223,"0000-0002-8105-4371, 0000-0001-6312-7728, 0000-0003-3520-4022, 0000-0001-7623-8419, 0000-0002-2163-7639",DNA-based Computing and Data Storage,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,18,4,"['Benchmark (surveying)', 'Hyperparameter', 'Membrane Computing', 'Spiking Neural P Systems', 'DNA Computing', 'Programmable Matter', 'Molecular Computation']"
10.1007/s41965-022-00106-5,Evaluating space measures in P systems,2022,journal-article,https://doi.org/10.1007/s41965-022-00106-5,"0000-0002-8105-4371, 0000-0002-6184-3971, 0000-0001-6312-7728, 0000-0003-3520-4022, 0000-0002-2163-7639",DNA-based Computing and Data Storage,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,37,1,"['Unary operation', 'Membrane Computing', 'Spiking Neural P Systems', 'Programmable Matter', 'P system']"
10.1016/j.tcs.2021.11.010,Depth-two P systems can simulate Turing machines with NP oracles,2021,journal-article,https://doi.org/10.1016/j.tcs.2021.11.010,"0000-0002-8105-4371, 0000-0001-6312-7728, 0000-0003-3520-4022, 0000-0002-2163-7639",DNA-based Computing and Data Storage,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,21,2,"['Time hierarchy theorem', 'Polynomial hierarchy', 'Turing', 'Membrane Computing', 'Spiking Neural P Systems', 'Programmable Matter', 'DTIME', 'NP-complete', 'Decision problem', 'P system']"
10.1007/s41965-021-00074-2,Alternative space definitions for P systems with active membranes,2021,journal-article,https://doi.org/10.1007/s41965-021-00074-2,"0000-0002-8105-4371, 0000-0002-6184-3971, 0000-0001-6312-7728, 0000-0003-3520-4022, 0000-0002-2163-7639",DNA-based Computing and Data Storage,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,42,5,"['Unary operation', 'State Complexity']"
10.1007/s41965-020-00052-0,Simulating counting oracles with cooperation,2020,journal-article,https://doi.org/10.1007/s41965-020-00052-0,"0000-0002-8105-4371, 0000-0001-6312-7728, 0000-0003-3520-4022, 0000-0003-1544-028X, 0000-0002-2163-7639",DNA-based Computing and Data Storage,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,24,3,"['Turing', 'Membrane Computing', 'Programmable Matter', 'Expressive power', 'Counting problem']"
10.1007/s41965-020-00031-5,A Turing machine simulation by P systems without charges,2020,journal-article,https://doi.org/10.1007/s41965-020-00031-5,"0000-0002-8105-4371, 0000-0001-6312-7728, 0000-0003-3520-4022, 0000-0003-1544-028X, 0000-0002-2163-7639",DNA-based Computing and Data Storage,Molecular Biology,"Biochemistry, Genetics and Molecular Biology",Life Sciences,25,15,"['Turing', 'Membrane Computing', 'State Complexity', 'Spiking Neural P Systems', 'Time hierarchy theorem', 'Super-recursive algorithm', 'Nesting (process)', 'Description number']"
